Hum Aapke Hain Koun..! | Salman Khan, Madhuri Dixit | Family Romance | wedding family tradition relationships
Hum Saath-Saath Hain | Salman Khan, Karisma Kapoor | Family Drama | brothers family tradition reunion
Andaz Apna Apna | Aamir Khan, Salman Khan | Comedy | friendship mistaken identity inheritance comedy
Rangeela | Aamir Khan, Urmila Matondkar | Romance Drama | Mumbai cinema friendship ambition
Sarfarosh | Aamir Khan, Sonali Bendre | Action Thriller | terrorism police investigation patriotism
Jo Jeeta Wohi Sikandar | Aamir Khan, Ayesha Jhulka | Sports Drama | cycling college rivalry friendship
Dil | Aamir Khan, Madhuri Dixit | Romance Comedy | college love family rivalry
Ishq | Aamir Khan, Ajay Devgn | Romantic Comedy | friendship love family rivalry
Hum Hain Rahi Pyar Ke | Aamir Khan, Juhi Chawla | Comedy Drama | children family romance business
Raja Hindustani | Aamir Khan, Karisma Kapoor | Romance Drama | taxi driver love marriage family
Rangeela | Aamir Khan, Urmila Matondkar | Romance Drama | cinema friendship Mumbai dreams
Akele Hum Akele Tum | Aamir Khan, Manisha Koirala | Family Drama | marriage divorce child custody music
Mann | Aamir Khan, Manisha Koirala | Romance Drama | love separation travel accident
Dil Chahta Hai | Aamir Khan, Saif Ali Khan | Comedy Drama | friendship travel relationships Goa
Lagaan | Aamir Khan, Gracy Singh | Sports Drama | cricket British village tax
Rang De Basanti | Aamir Khan, Siddharth | Drama | friendship revolution patriotism college
Taare Zameen Par | Aamir Khan, Darsheel Safary | Drama | school education dyslexia art
3 Idiots | Aamir Khan, R Madhavan | Comedy Drama | engineering friendship education dreams
PK | Aamir Khan, Anushka Sharma | Comedy Drama | alien religion society identity
Secret Superstar | Zaira Wasim, Aamir Khan | Musical Drama | singer dreams family freedom
