Evaru | Adivi Sesh, Regina Cassandra | Mystery Thriller | murder investigation police deception
Kshanam | Adivi Sesh, Adah Sharma | Mystery Thriller | missing child investigation memory
Goodachari | Adivi Sesh, Sobhita Dhulipala | Spy Thriller | intelligence espionage mission conspiracy
Major | Adivi Sesh, Saiee Manjrekar | Biographical Action | army Mumbai attacks bravery sacrifice
Agent Sai Srinivasa Athreya | Naveen Polishetty, Shruti Sharma | Mystery Comedy | detective investigation railway crime
Jathi Ratnalu | Naveen Polishetty, Priyadarshi | Comedy | friendship prison village city adventure
Miss Shetty Mr Polishetty | Anushka Shetty, Naveen Polishetty | Romantic Comedy | chef standup romance family relationships
Mental Madhilo | Sree Vishnu, Nivetha Pethuraj | Romantic Comedy | relationships choices confusion love
Raja Raja Chora | Sree Vishnu, Megha Lekha | Comedy Drama | theft family relationships identity
Brochevarevarura | Sree Vishnu, Nivetha Thomas | Comedy Thriller | friendship college crime mystery
Samajavaragamana | Sree Vishnu, Reba Monica John | Comedy Drama | family relationships marriage comedy
Vivaha Bhojanambu | Satya, Arjavi Raj | Comedy | marriage family lockdown relationships
Arjun Suravaram | Nikhil Siddhartha, Lavanya Tripathi | Mystery Thriller | journalism fraud investigation crime
Karthikeya | Nikhil Siddhartha, Swathi Reddy | Mystery Thriller | temple mystery mythology investigation
Karthikeya 2 | Nikhil Siddhartha, Anupama Parameswaran | Adventure Mystery | mythology treasure Krishna history
18 Pages | Nikhil Siddhartha, Anupama Parameswaran | Romance Drama | memory relationships love letters
Swamy Ra Ra | Nikhil Siddhartha, Swathi Reddy | Crime Comedy | theft idol friendship crime
Surya vs Surya | Nikhil Siddhartha, Tridha Choudhury | Romance Drama | sunlight condition travel love
Kirrak Party | Nikhil Siddhartha, Samyuktha Hegde | College Comedy | friendship college romance youth
Babu Bangaram | Venkatesh, Nayanthara | Action Comedy | police romance crime investigation
