The Ring Two | Naomi Watts, David Dorfman | Horror Mystery | samara ring curse videotape
The Grudge | Sarah Michelle Gellar, Jason Behr | Horror Supernatural | grudge curse house ghost japan
The Grudge 2 | Amber Tamblyn, Sarah Michelle Gellar | Horror Supernatural | grudge curse ghost house
The Grudge 3 | Johanna Braddy, Gil McKinney | Horror Supernatural | grudge ghost curse apartment
Final Destination | Devon Sawa, Ali Larter | Horror Thriller | death premonition accident survival
Final Destination 2 | Ali Larter, A J Cook | Horror Thriller | death highway accident premonition
Final Destination 3 | Mary Elizabeth Winstead, Ryan Merriman | Horror Thriller | death roller coaster premonition
Final Destination 4 | Bobby Campo, Shantel VanSanten | Horror Thriller | death raceway accident premonition
Final Destination 5 | Nicholas DAgosto, Emma Bell | Horror Thriller | death bridge accident premonition
The Blair Witch Project | Heather Donahue, Michael Williams | Horror Mystery | blair witch forest missing footage
Paranormal Activity | Katie Featherston, Micah Sloat | Horror Supernatural | paranormal house demon camera
Paranormal Activity 2 | Katie Featherston, Micah Sloat | Horror Supernatural | paranormal family demon house
Paranormal Activity 3 | Katie Featherston, Sprague Grayden | Horror Supernatural | paranormal childhood demon house
Paranormal Activity 4 | Kathryn Newton, Matt Shively | Horror Supernatural | paranormal family house camera
The Babadook | Essie Davis, Noah Wiseman | Horror Drama | babadook monster mother book
Sinister | Ethan Hawke, Juliet Rylance | Horror Mystery | sinister films murders demon writer
Oculus | Karen Gillan, Brenton Thwaites | Horror Supernatural | mirror curse siblings supernatural
Lights Out | Teresa Palmer, Gabriel Bateman | Horror Supernatural | darkness demon lights family
Smile | Sosie Bacon, Kyle Gallner | Horror Mystery | smile curse trauma entity
Smile 2 | Naomi Scott, Rosemarie DeWitt | Horror Mystery | smile curse singer fame entity
