Man of Steel | Henry Cavill, Amy Adams | Action Superhero DC | superman clark kent krypton dc superhero
Batman v Superman Dawn of Justice | Ben Affleck, Henry Cavill | Action Superhero DC | batman superman wonder woman justice dc
Suicide Squad | Will Smith, Margot Robbie | Action Superhero DC | suicide squad harley quinn deadshot joker dc
Wonder Woman | Gal Gadot, Chris Pine | Action Superhero DC | wonder woman diana amazon steve trevor dc
Justice League | Ben Affleck, Gal Gadot, Henry Cavill | Action Superhero DC | justice league batman superman flash aquaman dc
Aquaman | Jason Momoa, Amber Heard | Action Fantasy DC | aquaman arthur mera atlantis ocean dc
Shazam | Zachary Levi, Asher Angel | Action Comedy DC | shazam billy batson wizard superhero dc
Birds of Prey | Margot Robbie, Mary Elizabeth Winstead | Action Superhero DC | harley quinn birds prey gotham dc
Wonder Woman 1984 | Gal Gadot, Chris Pine | Action Superhero DC | wonder woman diana cheetah max lord dc
Zack Snyder Justice League | Ben Affleck, Gal Gadot, Henry Cavill | Action Superhero DC | justice league darkseid batman superman dc
The Suicide Squad | Margot Robbie, Idris Elba | Action Superhero DC | suicide squad harley quinn peacemaker dc
The Batman | Robert Pattinson, Zoe Kravitz | Crime Superhero DC | batman riddler gotham bruce wayne dc
Black Adam | Dwayne Johnson, Pierce Brosnan | Action Superhero DC | black adam shazam kahndaq superhero dc
Shazam Fury of the Gods | Zachary Levi, Helen Mirren | Action Fantasy DC | shazam gods magic family superhero dc
The Flash | Ezra Miller, Michael Keaton | Action Superhero DC | flash barry allen multiverse batman dc
Aquaman and the Lost Kingdom | Jason Momoa, Patrick Wilson | Action Fantasy DC | aquaman atlantis black manta ocean dc
Blue Beetle | Xolo Maridueña, Bruna Marquezine | Action Superhero DC | blue beetle jaime scarab superhero dc
Joker | Joaquin Phoenix, Robert De Niro | Crime Drama DC | joker arthur fleck gotham clown dc
Batman Begins | Christian Bale, Michael Caine | Action Superhero DC | batman bruce wayne gotham begins dc
The Dark Knight | Christian Bale, Heath Ledger | Crime Action DC | batman joker gotham harvey dent dc
