The Matrix | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo trinity morpheus machines
The Matrix Reloaded | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo machines zion oracle
The Matrix Revolutions | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo smith machines war
I Robot | Will Smith, Bridget Moynahan | Sci-Fi Action | robots ai detective future technology
I Am Legend | Will Smith, Alice Braga | Sci-Fi Drama | virus zombies new york survival
Men in Black | Will Smith, Tommy Lee Jones | Sci-Fi Comedy | aliens agents memory secret
Men in Black II | Will Smith, Tommy Lee Jones | Sci-Fi Comedy | aliens agents memory sequel
Men in Black 3 | Will Smith, Tommy Lee Jones | Sci-Fi Comedy | time travel aliens agents
Independence Day | Will Smith, Jeff Goldblum | Sci-Fi Action | aliens invasion earth president
Hancock | Will Smith, Charlize Theron | Superhero Drama | hancock superhero memory powers
After Earth | Will Smith, Jaden Smith | Sci-Fi Adventure | earth survival father son future
I Am Number Four | Alex Pettyfer, Timothy Olyphant | Sci-Fi Action | alien powers fugitive lorien
District 9 | Sharlto Copley, David James | Sci-Fi Action | aliens johannesburg prawns government
Elysium | Matt Damon, Jodie Foster | Sci-Fi Action | future earth space station inequality
Chappie | Sharlto Copley, Dev Patel | Sci-Fi Action | robot ai police johannesburg
Source Code | Jake Gyllenhaal, Michelle Monaghan | Sci-Fi Thriller | time loop train explosion simulation
Looper | Joseph Gordon Levitt, Bruce Willis | Sci-Fi Action | time travel assassin future
Upgrade | Logan Marshall Green, Betty Gabriel | Sci-Fi Action | stem ai revenge technology
Moon | Sam Rockwell, Kevin Spacey | Sci-Fi Drama | moon astronaut clone isolation
Sunshine | Cillian Murphy, Rose Byrne | Sci-Fi Thriller | sun space mission astronaut
