The Departed | Leonardo DiCaprio, Matt Damon | Crime Thriller | police mafia undercover boston
The Talented Mr Ripley | Matt Damon, Jude Law | Crime Drama | ripley deception identity italy
The Aviator | Leonardo DiCaprio, Cate Blanchett | Biography Drama | howard hughes aviation billionaire
Gangs of New York | Leonardo DiCaprio, Daniel Day Lewis | Historical Drama | gangs new york butcher civil war
Blood Diamond | Leonardo DiCaprio, Djimon Hounsou | Adventure Drama | diamonds africa war smuggling
Revolutionary Road | Leonardo DiCaprio, Kate Winslet | Drama Romance | marriage suburb dreams relationship
Shutter Island | Leonardo DiCaprio, Mark Ruffalo | Mystery Thriller | asylum island detective mystery
The Basketball Diaries | Leonardo DiCaprio, Mark Wahlberg | Drama | basketball addiction drugs youth
Romeo and Juliet | Leonardo DiCaprio, Claire Danes | Romance Drama | romeo juliet verona families love
The Man in the Iron Mask | Leonardo DiCaprio, Jeremy Irons | Historical Adventure | king musketeers france prison
The Beach | Leonardo DiCaprio, Tilda Swinton | Adventure Drama | beach thailand island paradise
Body of Lies | Leonardo DiCaprio, Russell Crowe | Spy Thriller | cia terrorism middle east espionage
J Edgar | Leonardo DiCaprio, Armie Hammer | Biography Drama | j edgar fbi hoover investigation
The Quick and the Dead | Sharon Stone, Gene Hackman | Western Action | gunslinger duel town revenge
Unforgiven | Clint Eastwood, Gene Hackman | Western Drama | gunslinger revenge wyoming sheriff
Mystic River | Sean Penn, Tim Robbins | Crime Drama | boston murder childhood investigation
Million Dollar Baby | Hilary Swank, Clint Eastwood | Sports Drama | boxing trainer ambition
Gran Torino | Clint Eastwood, Bee Vang | Drama | veteran detroit friendship neighborhood
American Sniper | Bradley Cooper, Sienna Miller | War Drama | navy seal sniper iraq war
Flags of Our Fathers | Ryan Phillippe, Adam Beach | War Drama | iwo jima marines flag war
