The Lord of the Rings Fellowship of the Ring | Elijah Wood, Ian McKellen | Fantasy Adventure | frodo ring gandalf middle earth fellowship
The Lord of the Rings Two Towers | Elijah Wood, Viggo Mortensen | Fantasy Adventure | frodo aragorn rohan saruman war
The Lord of the Rings Return of the King | Elijah Wood, Viggo Mortensen | Fantasy Adventure | frodo aragorn sauron mordor ring
The Hobbit An Unexpected Journey | Martin Freeman, Ian McKellen | Fantasy Adventure | bilbo hobbit gandalf dwarves smaug
The Hobbit Desolation of Smaug | Martin Freeman, Benedict Cumberbatch | Fantasy Adventure | bilbo smaug dwarves erebor dragon
The Hobbit Battle of the Five Armies | Martin Freeman, Richard Armitage | Fantasy Adventure | bilbo battle smaug dwarves middle earth
Harry Potter Sorcerers Stone | Daniel Radcliffe, Emma Watson | Fantasy Adventure | harry potter hogwarts magic wizard
Harry Potter Chamber of Secrets | Daniel Radcliffe, Emma Watson | Fantasy Adventure | harry potter chamber basilisk hogwarts
Harry Potter Prisoner of Azkaban | Daniel Radcliffe, Gary Oldman | Fantasy Adventure | harry sirius lupin azkaban hogwarts
Harry Potter Goblet of Fire | Daniel Radcliffe, Emma Watson | Fantasy Adventure | harry tournament voldemort hogwarts
Harry Potter Order of Phoenix | Daniel Radcliffe, Emma Watson | Fantasy Adventure | harry order voldemort ministry hogwarts
Harry Potter Half Blood Prince | Daniel Radcliffe, Michael Gambon | Fantasy Adventure | harry draco dumbledore horcrux
Harry Potter Deathly Hallows Part 1 | Daniel Radcliffe, Emma Watson | Fantasy Adventure | harry horcrux voldemort deathly hallows
Harry Potter Deathly Hallows Part 2 | Daniel Radcliffe, Emma Watson | Fantasy Adventure | harry hogwarts voldemort final battle
Fantastic Beasts and Where to Find Them | Eddie Redmayne, Katherine Waterston | Fantasy Adventure | newt beasts magic wizard
Fantastic Beasts Crimes of Grindelwald | Eddie Redmayne, Johnny Depp | Fantasy Adventure | grindelwald dumbledore newt magic
Fantastic Beasts Secrets of Dumbledore | Eddie Redmayne, Jude Law | Fantasy Adventure | dumbledore grindelwald newt magic
The Golden Compass | Nicole Kidman, Daniel Craig | Fantasy Adventure | lyra daemons dust parallel worlds
Stardust | Claire Danes, Charlie Cox | Fantasy Adventure | star yvaine wall magic kingdom
The Chronicles of Narnia Lion Witch Wardrobe | Georgie Henley, Liam Neeson | Fantasy Adventure | narnia aslan witch wardrobe
