Vikramarkudu | Ravi Teja, Anushka Shetty | Action Drama | police identity village crime
Dubai Seenu | Ravi Teja, Nayanthara | Action Comedy | friendship Dubai romance crime
Neninthe | Ravi Teja, Siya | Drama | filmmaking cinema ambition friendship
Balupu | Ravi Teja, Shruti Haasan | Action Comedy | family revenge romance crime
Raja The Great | Ravi Teja, Mehreen Pirzada | Action Comedy | blind hero family revenge crime
Krack | Ravi Teja, Shruti Haasan | Action Drama | police crime investigation revenge
Dhamaka | Ravi Teja, Sreeleela | Action Comedy | family identity business romance
Disco Raja | Ravi Teja, Payal Rajput | Sci-Fi Action | memory science experiment identity
Bengal Tiger | Ravi Teja, Tamannaah Bhatia | Action Comedy | revenge politics crime romance
Power | Ravi Teja, Hansika Motwani | Action Drama | police identity crime revenge
Mirapakay | Ravi Teja, Richa Gangopadhyay | Action Comedy | police romance crime investigation
Don Seenu | Ravi Teja, Shriya Saran | Action Comedy | gangster identity friendship romance
Devudu Chesina Manushulu | Ravi Teja, Ileana D'Cruz | Fantasy Comedy | gods destiny romance comedy
Shambo Shiva Shambo | Ravi Teja, Allari Naresh | Drama | friendship sacrifice family relationships
Sarochaaru | Ravi Teja, Kajal Aggarwal | Romance Drama | love relationships travel friendship
Anjaneyulu | Ravi Teja, Nayanthara | Action Drama | journalist crime family investigation
Veera | Ravi Teja, Kajal Aggarwal | Action Drama | family protection revenge village
Khiladi | Ravi Teja, Meenakshi Chaudhary | Action Thriller | crime money investigation deception
Eagle | Ravi Teja, Anupama Parameswaran | Action Thriller | mystery agent investigation crime
Kick 2 | Ravi Teja, Rakul Preet Singh | Action Comedy | ambition romance family business
