Drishyam | Ajay Devgn, Tabu | Crime Thriller | family murder investigation police
Drishyam 2 | Ajay Devgn, Tabu | Crime Thriller | investigation evidence family police
Andhadhun | Ayushmann Khurrana, Tabu | Mystery Thriller | pianist blind murder crime mystery
Article 15 | Ayushmann Khurrana, Isha Talwar | Crime Drama | police caste investigation justice
Anek | Ayushmann Khurrana, Andrea Kevichusa | Action Drama | northeast politics insurgency identity
Badhaai Ho | Ayushmann Khurrana, Neena Gupta | Comedy Drama | pregnancy family relationships society
Dream Girl | Ayushmann Khurrana, Nushrratt Bharuccha | Comedy | call center voice identity relationships
Bala | Ayushmann Khurrana, Bhumi Pednekar | Comedy Drama | hair loss confidence marriage society
Shubh Mangal Saavdhan | Ayushmann Khurrana, Bhumi Pednekar | Romantic Comedy | marriage relationships health comedy
Vicky Donor | Ayushmann Khurrana, Yami Gautam | Comedy Drama | sperm donation fertility relationships
Bareilly Ki Barfi | Ayushmann Khurrana, Kriti Sanon | Romantic Comedy | small town books romance identity
Mard Ko Dard Nahi Hota | Abhimanyu Dassani, Radhika Madan | Action Comedy | pain immunity martial arts revenge
Mimi | Kriti Sanon, Pankaj Tripathi | Comedy Drama | surrogate motherhood family emotions
Luka Chuppi | Kartik Aaryan, Kriti Sanon | Romantic Comedy | live in marriage family small town
Sonu Ke Titu Ki Sweety | Kartik Aaryan, Nushrratt Bharuccha | Comedy Drama | friendship marriage relationships
Pyaar Ka Punchnama | Kartik Aaryan, Raayo S Bakhirta | Romantic Comedy | friendship relationships college
Pyaar Ka Punchnama 2 | Kartik Aaryan, Sunny Singh | Romantic Comedy | relationships friendship dating
Love Aaj Kal | Saif Ali Khan, Deepika Padukone | Romance Drama | modern love relationships generations
Cocktail | Saif Ali Khan, Deepika Padukone | Romantic Comedy | friendship love London relationships
Hum Tum | Saif Ali Khan, Rani Mukerji | Romance Comedy | friendship marriage cartoons relationships
