Iron Man | Robert Downey Jr, Gwyneth Paltrow | Action Superhero MCU | iron man tony stark marvel avengers technology
The Incredible Hulk | Edward Norton, Liv Tyler | Action Superhero MCU | hulk bruce banner marvel gamma avengers
Iron Man 2 | Robert Downey Jr, Mickey Rourke | Action Superhero MCU | iron man tony stark whiplash marvel
Thor | Chris Hemsworth, Tom Hiddleston | Action Fantasy MCU | thor loki asgard hammer marvel
Captain America The First Avenger | Chris Evans, Hayley Atwell | Action Superhero MCU | captain america steve rogers shield wwii marvel
The Avengers | Robert Downey Jr, Chris Evans, Chris Hemsworth | Action Superhero MCU | avengers iron man thor hulk captain america marvel
Iron Man 3 | Robert Downey Jr, Guy Pearce | Action Superhero MCU | iron man tony stark mandarin armor marvel
Thor The Dark World | Chris Hemsworth, Natalie Portman | Action Fantasy MCU | thor loki dark elves asgard marvel
Captain America The Winter Soldier | Chris Evans, Scarlett Johansson | Action Thriller MCU | captain america winter soldier hydra shield marvel
Guardians of the Galaxy | Chris Pratt, Zoe Saldana | Action Sci-Fi MCU | guardians star lord groot rocket galaxy marvel
Avengers Age of Ultron | Robert Downey Jr, Chris Evans, Mark Ruffalo | Action Superhero MCU | avengers ultron vision iron man marvel
Ant-Man | Paul Rudd, Michael Douglas | Action Comedy MCU | ant man scott lang pym shrinking marvel
Captain America Civil War | Chris Evans, Robert Downey Jr | Action Superhero MCU | captain america iron man civil war avengers marvel
Doctor Strange | Benedict Cumberbatch, Chiwetel Ejiofor | Fantasy Superhero MCU | doctor strange sorcery magic marvel
Guardians of the Galaxy Vol 2 | Chris Pratt, Zoe Saldana | Action Sci-Fi MCU | guardians star lord ego groot marvel
Spider-Man Homecoming | Tom Holland, Michael Keaton | Action Superhero MCU | spider man peter parker vulture marvel
Thor Ragnarok | Chris Hemsworth, Cate Blanchett | Action Fantasy MCU | thor loki hela ragnarok asgard marvel
Black Panther | Chadwick Boseman, Michael B Jordan | Action Superhero MCU | black panther wakanda tchall a marvel
Avengers Infinity War | Robert Downey Jr, Chris Evans, Josh Brolin | Action Superhero MCU | avengers thanos infinity stones marvel
Avengers Endgame | Robert Downey Jr, Chris Evans, Chris Hemsworth | Action Superhero MCU | avengers endgame thanos iron man captain america marvel
