The Princess Diaries | Anne Hathaway, Julie Andrews | Comedy Romance | princess mia genovia school
The Princess Diaries 2 | Anne Hathaway, Julie Andrews | Comedy Romance | princess mia genovia wedding
Mean Girls | Lindsay Lohan, Rachel McAdams | Comedy | high school plastics cady friendship
Mean Girls 2024 | Angourie Rice, Reneé Rapp | Musical Comedy | high school plastics cady music
Clueless | Alicia Silverstone, Paul Rudd | Comedy Romance | cher beverly hills school fashion
Legally Blonde | Reese Witherspoon, Luke Wilson | Comedy Drama | elle woods harvard lawyer law school
Legally Blonde 2 | Reese Witherspoon, Sally Field | Comedy | elle woods washington animal rights
The Devil Wears Prada | Meryl Streep, Anne Hathaway | Comedy Drama | fashion magazine andy miranda new york
The Intern | Robert De Niro, Anne Hathaway | Comedy Drama | intern startup retirement friendship
13 Going on 30 | Jennifer Garner, Mark Ruffalo | Romance Comedy | jennifer body swap adult magazine
Freaky Friday | Jamie Lee Curtis, Lindsay Lohan | Comedy Fantasy | mother daughter body swap
The Parent Trap | Lindsay Lohan, Dennis Quaid | Family Comedy | twins parents camp reunion
Matilda | Mara Wilson, Danny DeVito | Family Fantasy | matilda school powers books
Mrs Doubtfire | Robin Williams, Sally Field | Comedy Drama | father disguise nanny family
The Wedding Planner | Jennifer Lopez, Matthew McConaughey | Romance Comedy | wedding planner love fiance
How to Lose a Guy in 10 Days | Kate Hudson, Matthew McConaughey | Romance Comedy | dating challenge advertising relationship
27 Dresses | Katherine Heigl, James Marsden | Romance Comedy | bridesmaid wedding jane romance
The Wedding Singer | Adam Sandler, Drew Barrymore | Romance Comedy | wedding singer robbie julia music
50 First Dates | Adam Sandler, Drew Barrymore | Romance Comedy | memory loss hawaii romance
Just Go with It | Adam Sandler, Jennifer Aniston | Romance Comedy | fake wife vacation romance
