Jalsa | Pawan Kalyan, Ileana D'Cruz | Action Drama | politician revenge family justice
Gabbar Singh | Pawan Kalyan, Shruti Haasan | Action Comedy | police gangster village romance
Attarintiki Daredi | Pawan Kalyan, Samantha Ruth Prabhu | Family Comedy | family reunion grandfather business
Agnyaathavaasi | Pawan Kalyan, Keerthy Suresh | Action Drama | family business identity revenge
Vakeel Saab | Pawan Kalyan, Nivetha Thomas | Courtroom Drama | women justice lawyer friendship
Bheemla Nayak | Pawan Kalyan, Rana Daggubati | Action Drama | police rivalry power conflict
Tholi Prema | Pawan Kalyan, Keerthy Reddy | Romance Drama | college love separation
Kushi | Pawan Kalyan, Bhumika Chawla | Romance Comedy | friendship love marriage family
Badri | Pawan Kalyan, Ameesha Patel | Romance Drama | love friendship college
Johnny | Pawan Kalyan, Renu Desai | Action Drama | boxing family revenge
Khushi | Vijay Deverakonda, Samantha Ruth Prabhu | Romantic Comedy | relationships marriage family
Liger | Vijay Deverakonda, Ananya Panday | Sports Action | boxing Mumbai Las Vegas
World Famous Lover | Vijay Deverakonda, Raashi Khanna | Romance Drama | relationships heartbreak writing
Dear Comrade | Vijay Deverakonda, Rashmika Mandanna | Romance Drama | cricket love activism
NOTA | Vijay Deverakonda, Mehreen Pirzada | Political Drama | chief minister politics governance
Mahanati | Keerthy Suresh, Dulquer Salmaan | Biographical Drama | actress cinema career life
Goodachari | Adivi Sesh, Sobhita Dhulipala | Spy Thriller | intelligence agent conspiracy mission
Major | Adivi Sesh, Saiee Manjrekar | Biographical Action | army Mumbai attacks bravery
Kshanam | Adivi Sesh, Adah Sharma | Mystery Thriller | missing child investigation memory
Hit The First Case | Vishwak Sen, Ruhani Sharma | Crime Thriller | police investigation missing woman
