Pushpa The Rise | Allu Arjun, Rashmika Mandanna | Action Drama | sandalwood smuggling forest rivalry
Pushpa The Rule | Allu Arjun, Rashmika Mandanna | Action Drama | smuggling power rivalry police
Ala Vaikunthapurramuloo | Allu Arjun, Pooja Hegde | Family Drama | family identity inheritance business
Sarrainodu | Allu Arjun, Rakul Preet Singh | Action Drama | politician village justice romance
Race Gurram | Allu Arjun, Shruti Haasan | Action Comedy | police crime brothers comedy
Julayi | Allu Arjun, Ileana D'Cruz | Action Comedy | bank robbery crime intelligence
DJ Duvvada Jagannadham | Allu Arjun, Pooja Hegde | Action Comedy | chef vigilante crime corruption
Lucky The Racer | Allu Arjun, Shruti Haasan | Action Comedy | racing family rivalry romance
Naa Peru Surya Naa Illu India | Allu Arjun, Anu Emmanuel | Action Drama | soldier army anger patriotism
S/O Satyamurthy | Allu Arjun, Samantha Ruth Prabhu | Family Drama | father values business family
Race Gurram | Allu Arjun, Shruti Haasan | Action Comedy | police brothers crime
Arya | Allu Arjun, Anu Mehta | Romance Drama | love friendship college obsession
Arya 2 | Allu Arjun, Kajal Aggarwal | Romance Drama | friendship love business rivalry
Desamuduru | Allu Arjun, Hansika Motwani | Action Romance | journalist gangster spirituality
Bunny | Allu Arjun, Gowri Munjal | Action Drama | college revenge family identity
Vedam | Allu Arjun, Anushka Shetty | Drama | city lives crime hospital relationships
Rudhramadevi | Anushka Shetty, Rana Daggubati | Historical Drama | queen kingdom warrior Kakatiya
Bhagamathie | Anushka Shetty, Unni Mukundan | Horror Thriller | haunted palace investigation politics
Arundhati | Anushka Shetty, Sonu Sood | Horror Fantasy | reincarnation palace evil spirit
Size Zero | Anushka Shetty, Arya | Romantic Comedy | body image health relationships
