Mayabazar | NTR, ANR | Fantasy Drama | mythology family kingdom marriage
Missamma | NTR, Savitri | Comedy Drama | mistaken identity family school romance
Gundamma Katha | NTR, ANR | Family Comedy | family marriage relationships comedy
Pathala Bhairavi | NTR, S V Ranga Rao | Fantasy Adventure | magic kingdom adventure treasure
Devadasu | ANR, Savitri | Romance Drama | love heartbreak family tragedy
Lava Kusa | NTR, Anjali Devi | Mythological Drama | Rama Sita family kingdom
Nartanasala | NTR, Savitri | Mythological Drama | Mahabharata disguise kingdom friendship
Alluri Seetharama Raju | Krishna, Vijaya Nirmala | Historical Drama | freedom rebellion British warrior
Sagara Sangamam | Kamal Haasan, Jayaprada | Musical Drama | classical dance ambition art relationships
Swathi Muthyam | Kamal Haasan, Radhika | Drama | marriage family innocence social customs
Rudraveena | Chiranjeevi, Shobana | Musical Drama | music social reform family tradition
Geethanjali | Nagarjuna, Girija Shettar | Romance Drama | love illness dreams memories
Shiva | Nagarjuna, Amala | Action Drama | college politics friendship corruption
Anjali | Raghuvaran, Revathi | Family Drama | child family relationships emotions
Kshana Kshanam | Venkatesh, Sridevi | Crime Comedy | money chase travel crime
Ninne Pelladatha | Nagarjuna, Tabu | Romance Drama | love family marriage relationships
Anthahpuram | Prakash Raj, Soundarya | Action Drama | family conflict village crime
Sindhooram | Brahmaji, Sanghavi | Political Drama | village politics social conflict friendship
Manasantha Nuvve | Uday Kiran, Reema Sen | Romance Drama | love friendship family memories
Ammoru | Soundarya, Suresh | Fantasy Drama | goddess village faith supernatural
