Rocky | Sylvester Stallone, Talia Shire | Sports Drama | boxing rocky philadelphia champion
Rocky II | Sylvester Stallone, Talia Shire | Sports Drama | boxing rocky apollo rematch
Rocky III | Sylvester Stallone, Mr T | Sports Drama | boxing rocky clubber lang champion
Rocky IV | Sylvester Stallone, Dolph Lundgren | Sports Drama | boxing rocky drago russia
Rocky V | Sylvester Stallone, Talia Shire | Sports Drama | boxing rocky tommy retirement
Creed | Michael B Jordan, Sylvester Stallone | Sports Drama | boxing adonis rocky creed
Creed II | Michael B Jordan, Sylvester Stallone | Sports Drama | boxing adonis drago rocky
The Karate Kid | Ralph Macchio, Pat Morita | Sports Drama | karate daniel miyagi tournament
The Karate Kid Part II | Ralph Macchio, Pat Morita | Sports Drama | karate daniel miyagi japan
The Karate Kid Part III | Ralph Macchio, Pat Morita | Sports Drama | karate daniel cobra kai tournament
Remember the Titans | Denzel Washington, Will Patton | Sports Drama | football team school racism
Coach Carter | Samuel L Jackson, Channing Tatum | Sports Drama | basketball coach school discipline
Moneyball | Brad Pitt, Jonah Hill | Sports Drama | baseball athletics statistics sabermetrics
The Blind Side | Sandra Bullock, Quinton Aaron | Sports Drama | football michael oher family
Ford v Ferrari | Matt Damon, Christian Bale | Sports Drama | racing ford ferrari le mans
Rush | Chris Hemsworth, Daniel Bruhl | Sports Drama | formula one racing hunt lauda
Days of Thunder | Tom Cruise, Nicole Kidman | Sports Action | nascar racing cole thunder
Million Dollar Baby | Hilary Swank, Clint Eastwood | Sports Drama | boxing trainer ambition
The Wrestler | Mickey Rourke, Marisa Tomei | Sports Drama | wrestling performer retirement comeback
Creed III | Michael B Jordan, Jonathan Majors | Sports Drama | boxing adonis dame champion
