Nuvvu Naaku Nachav | Venkatesh, Aarthi Agarwal | Romantic Comedy | friendship family marriage love
Malliswari | Venkatesh, Katrina Kaif | Romantic Comedy | princess family protection romance
F2 Fun and Frustration | Venkatesh, Varun Tej | Comedy | marriage friendship family relationships
F3 Fun and Frustration | Venkatesh, Varun Tej | Comedy | money friendship marriage confusion
Narappa | Venkatesh, Priyamani | Action Drama | family revenge village justice
Guru | Venkatesh, Ritika Singh | Sports Drama | boxing coach training ambition
Venky Mama | Venkatesh, Naga Chaitanya | Family Comedy | uncle nephew army family friendship
Babu Bangaram | Venkatesh, Nayanthara | Action Comedy | police romance crime investigation
Raja | Venkatesh, Soundarya | Romance Drama | family love village relationships
Intlo Illalu Vantintlo Priyuralu | Venkatesh, Soundarya | Comedy Drama | marriage family relationships comedy
Preminchukundam Raa | Venkatesh, Anjala Zaveri | Romance Drama | love family village rivalry
Jayam Manade Raa | Venkatesh, Soundarya | Action Drama | family revenge village justice
Lakshmi | Venkatesh, Nayanthara | Family Drama | family relationships business sacrifice
Tulasi | Venkatesh, Nayanthara | Action Family Drama | family protection village revenge
Bodyguard | Venkatesh, Trisha Krishnan | Romance Action | bodyguard protection love family
Sankranthi | Venkatesh, Sneha | Family Drama | brothers family festival relationships
Gemini | Venkatesh, Namitha | Action Drama | police crime romance investigation
Devi Putrudu | Venkatesh, Soundarya | Fantasy Adventure | treasure mythology underwater mystery
Shadow | Venkatesh, Tapsee Pannu | Action Thriller | revenge crime family investigation
Saindhav | Venkatesh, Baby Sara | Action Thriller | father daughter crime protection
