Title | Actors | Genre | Keywords
Second Show | Dulquer Salmaan, Sunny Wayne | Crime, Drama | gangster, friendship, youth, crime
Ustad Hotel | Dulquer Salmaan, Thilakan | Drama, Romance | food, family, dreams, relationships
ABCD: American-Born Confused Desi | Dulquer Salmaan, Jacob Gregory | Comedy, Drama | America, Kerala, friendship, culture
Neelakasham Pachakadal Chuvanna Bhoomi | Dulquer Salmaan, Sunny Wayne | Adventure, Drama | motorcycle, friendship, travel, journey
Bangalore Days | Dulquer Salmaan, Nivin Pauly | Romance, Drama | cousins, friendship, Bangalore, dreams
Charlie | Dulquer Salmaan, Parvathy Thiruvothu | Romance, Adventure | mystery, travel, art, love
Kali | Dulquer Salmaan, Sai Pallavi | Romance, Thriller | marriage, anger, road trip, relationships
Comrade in America | Dulquer Salmaan, Karthika Muralidharan | Adventure, Romance | travel, politics, love, migration
Solo | Dulquer Salmaan, Sai Dhanshika | Drama, Romance | love, identity, relationships, fate
Parava | Dulquer Salmaan, Shane Nigam | Drama | friendship, pigeons, childhood, family
Kammatipaadam | Dulquer Salmaan, Vinayakan | Crime, Drama | friendship, land, city, politics
Mahanati | Dulquer Salmaan, Keerthy Suresh | Biography, Drama | cinema, actor, history, love
Kannum Kannum Kollaiyadithaal | Dulquer Salmaan, Ritu Varma | Romance, Crime | scam, friendship, technology, romance
Varane Avashyamund | Dulquer Salmaan, Kalyani Priyadarshan | Romance, Comedy | family, neighbors, love, relationships
Kurup | Dulquer Salmaan, Sobhita Dhulipala | Crime, Thriller | fraud, fugitive, mystery, crime
Salute | Dulquer Salmaan, Diana Penty | Crime, Thriller | police, murder, investigation, family
Sita Ramam | Dulquer Salmaan, Mrunal Thakur | Romance, Drama | letters, war, love, mystery
King of Kotha | Dulquer Salmaan, Shabeer Kallarakkal | Action, Crime | gangster, town, revenge, friendship
Lucky Baskhar | Dulquer Salmaan, Meenakshi Chaudhary | Crime, Drama | banking, money, ambition, fraud
Kurup | Dulquer Salmaan, Sobhita Dhulipala | Crime, Thriller | fugitive, fraud, mystery, crime
