The Silence of the Lambs | Jodie Foster, Anthony Hopkins | Crime Thriller | hannibal lecter clarice serial killer
Se7en | Brad Pitt, Morgan Freeman | Crime Thriller | seven murders detective sins killer
Zodiac | Jake Gyllenhaal, Robert Downey Jr | Crime Mystery | zodiac killer investigation san francisco
Gone Girl | Ben Affleck, Rosamund Pike | Mystery Thriller | gone girl marriage disappearance mystery
Prisoners | Hugh Jackman, Jake Gyllenhaal | Crime Thriller | children disappearance detective kidnapping
Shutter Island | Leonardo DiCaprio, Mark Ruffalo | Mystery Thriller | island asylum detective mystery
The Usual Suspects | Kevin Spacey, Gabriel Byrne | Crime Mystery | keyser soze heist suspects police
Heat | Al Pacino, Robert De Niro | Crime Action | police robbery los angeles heist
Casino | Robert De Niro, Sharon Stone | Crime Drama | casino mafia las vegas money
Scarface | Al Pacino, Michelle Pfeiffer | Crime Drama | tony montana cocaine miami mafia
Carlitos Way | Al Pacino, Sean Penn | Crime Drama | carlito gangster puerto rico crime
Donnie Brasco | Al Pacino, Johnny Depp | Crime Drama | fbi undercover mafia joe pistone
American Gangster | Denzel Washington, Russell Crowe | Crime Drama | gangster frank lucas heroin police
Training Day | Denzel Washington, Ethan Hawke | Crime Thriller | police alonzo narcotics corruption
Inside Man | Denzel Washington, Clive Owen | Crime Thriller | bank robbery hostage detective
The Town | Ben Affleck, Jeremy Renner | Crime Thriller | bank robbers boston heist
Argo | Ben Affleck, Bryan Cranston | Historical Thriller | iran hostage cia rescue
Sicario | Emily Blunt, Benicio Del Toro | Crime Thriller | cartel mexico cia drugs
No Country for Old Men | Javier Bardem, Tommy Lee Jones | Crime Thriller | killer money texas chase
L A Confidential | Kevin Spacey, Russell Crowe | Crime Mystery | police los angeles corruption
