Black Panther Wakanda Forever | Letitia Wright, Tenoch Huerta | Action Superhero MCU | black panther wakanda shuri namor marvel
Spider-Man Far From Home | Tom Holland, Zendaya, Jake Gyllenhaal | Action Superhero MCU | spider man mysterio peter parker marvel europe
Spider-Man No Way Home | Tom Holland, Zendaya, Benedict Cumberbatch | Action Superhero MCU | spider man multiverse peter parker villains marvel
Doctor Strange Multiverse of Madness | Benedict Cumberbatch, Elizabeth Olsen | Fantasy Superhero MCU | doctor strange wanda multiverse magic marvel
Thor Love and Thunder | Chris Hemsworth, Natalie Portman | Action Fantasy MCU | thor jane foster gorr mjolnir marvel
Ant-Man and the Wasp | Paul Rudd, Evangeline Lilly | Action Comedy MCU | ant man wasp quantum pym marvel
Captain Marvel | Brie Larson, Samuel L Jackson | Action Superhero MCU | captain marvel carol danvers kree cosmic marvel
Black Widow | Scarlett Johansson, Florence Pugh | Action Spy MCU | black widow natasha yelena red room marvel
Shang-Chi | Simu Liu, Awkwafina, Tony Leung | Action Fantasy MCU | shang chi ten rings martial arts marvel
Eternals | Gemma Chan, Richard Madden | Action Fantasy MCU | eternals celestials ikaris sersi marvel
Thor The Dark World | Chris Hemsworth, Natalie Portman | Action Fantasy MCU | thor loki dark elves asgard marvel
Guardians of the Galaxy Vol 3 | Chris Pratt, Zoe Saldana | Action Sci-Fi MCU | guardians rocket groot star lord high evolutionary marvel
The Marvels | Brie Larson, Teyonah Parris, Iman Vellani | Action Superhero MCU | marvels captain marvel kamala monica cosmic marvel
Deadpool and Wolverine | Ryan Reynolds, Hugh Jackman | Action Comedy MCU | deadpool wolverine logan marvel mutants multiverse
Ant-Man and the Wasp Quantumania | Paul Rudd, Jonathan Majors | Action Sci-Fi MCU | ant man wasp kang quantum realm marvel
Guardians of the Galaxy Holiday Special | Chris Pratt, Dave Bautista | Comedy Superhero MCU | guardians christmas groot star lord marvel
Werewolf by Night | Gael Garcia Bernal, Laura Donnelly | Horror Superhero MCU | werewolf monster hunter night marvel
Black Panther | Chadwick Boseman, Michael B Jordan | Action Superhero MCU | black panther wakanda tchall a killmonger marvel
Avengers Age of Ultron | Robert Downey Jr, Chris Evans, Mark Ruffalo | Action Superhero MCU | avengers ultron vision hulk iron man marvel
Captain America Brave New World | Anthony Mackie, Harrison Ford | Action Superhero MCU | captain america sam wilson red hulk marvel
