The Dark Knight Rises | Christian Bale, Tom Hardy | Action Superhero DC | batman bane gotham rises bruce wayne dc
Batman Returns | Michael Keaton, Michelle Pfeiffer | Action Superhero DC | batman catwoman penguin gotham dc
Batman Forever | Val Kilmer, Jim Carrey | Action Superhero DC | batman riddler two face gotham dc
Batman and Robin | George Clooney, Chris O'Donnell | Action Superhero DC | batman robin mr freeze poison ivy dc
Superman II | Christopher Reeve, Gene Hackman | Action Superhero DC | superman general zod krypton lois dc
Superman III | Christopher Reeve, Richard Pryor | Action Comedy DC | superman clark kent lex luthor technology dc
Superman IV The Quest for Peace | Christopher Reeve, Margot Kidder | Action Superhero DC | superman nuclear weapons lex luthor dc
Batman 1989 | Michael Keaton, Jack Nicholson | Action Superhero DC | batman joker gotham bruce wayne dc
Batman Returns | Michael Keaton, Danny DeVito, Michelle Pfeiffer | Action Superhero DC | batman catwoman penguin gotham dc
Constantine | Keanu Reeves, Rachel Weisz | Fantasy Horror DC | constantine demons angels hell supernatural dc
Watchmen | Patrick Wilson, Malin Akerman | Superhero Mystery DC | watchmen rorschach dr manhattan superheroes dc
V for Vendetta | Natalie Portman, Hugo Weaving | Action Thriller DC | v vendetta revolution freedom mask dc
Batman Mask of the Phantasm | Kevin Conroy, Mark Hamill | Animated Superhero DC | batman phantasm joker gotham animated dc
Batman Under the Red Hood | Bruce Greenwood, Jensen Ackles | Animated Action DC | batman red hood joker robin dc
Justice League Dark | Matt Ryan, Camilla Luddington | Animated Fantasy DC | justice league dark constantine demons magic dc
Batman Ninja | Koichi Yamadera, Wataru Takagi | Animated Action DC | batman ninja joker samurai japan dc
Superman Doomsday | Adam Baldwin, Anne Heche | Animated Superhero DC | superman doomsday metropolis death dc
Justice League Crisis on Two Earths | Mark Harmon, William Baldwin | Animated Superhero DC | justice league alternate earth crime syndicate dc
Green Lantern First Flight | Christopher Meloni, Victor Garber | Animated Superhero DC | green lantern hal jordan corps space dc
Justice League War | Sean Astin, Jason O'Mara | Animated Superhero DC | justice league darkseid batman superman flash dc
