Pokiri | Mahesh Babu, Ileana D'Cruz | Action Thriller | undercover police gangster Mumbai
Businessman | Mahesh Babu, Kajal Aggarwal | Action Drama | gangster politics Mumbai ambition
Srimanthudu | Mahesh Babu, Shruti Haasan | Action Drama | village development family business
Bharat Ane Nenu | Mahesh Babu, Kiara Advani | Political Drama | chief minister governance corruption
Maharshi | Mahesh Babu, Pooja Hegde | Drama | farmer village education success
1 Nenokkadine | Mahesh Babu, Kriti Sanon | Psychological Thriller | memory revenge mystery music
Spyder | Mahesh Babu, Rakul Preet Singh | Action Thriller | intelligence technology serial killer
Sarileru Neekevvaru | Mahesh Babu, Rashmika Mandanna | Action Comedy | army family corruption
Okkadu | Mahesh Babu, Bhumika Chawla | Action Romance | kabaddi villain rescue
Dookudu | Mahesh Babu, Samantha Ruth Prabhu | Action Comedy | police family undercover crime
Athadu | Mahesh Babu, Trisha Krishnan | Action Thriller | assassin identity family
Khaleja | Mahesh Babu, Anushka Shetty | Action Fantasy | taxi driver village healer
Murari | Mahesh Babu, Sonali Bendre | Fantasy Drama | family curse supernatural marriage
Takkari Donga | Mahesh Babu, Lisa Ray | Western Action | cowboy treasure thief
Nijam | Mahesh Babu, Rakshita | Action Drama | revenge corruption crime
Seethamma Vakitlo Sirimalle Chettu | Mahesh Babu, Venkatesh | Family Drama | brothers family relationships
Maharshi | Mahesh Babu, Pooja Hegde | Drama | farming village transformation
Guntur Kaaram | Mahesh Babu, Sreeleela | Action Drama | family business identity
Athidhi | Mahesh Babu, Amrita Rao | Action Thriller | stranger revenge family
Yuvasena | Bharath, Sharvanand | Drama | friendship youth college crime
