The Hangover | Bradley Cooper, Zach Galifianakis | Comedy | hangover vegas wedding friends
The Hangover Part II | Bradley Cooper, Zach Galifianakis | Comedy | hangover bangkok wedding friends
The Hangover Part III | Bradley Cooper, Zach Galifianakis | Comedy | hangover wolfpack crime las vegas
Superbad | Jonah Hill, Michael Cera | Comedy | high school friends party graduation
21 Jump Street | Jonah Hill, Channing Tatum | Action Comedy | police undercover high school drugs
22 Jump Street | Jonah Hill, Channing Tatum | Action Comedy | police undercover college drugs
Step Brothers | Will Ferrell, John C Reilly | Comedy | brothers family rivalry house
Anchorman | Will Ferrell, Christina Applegate | Comedy | news anchor san diego newsroom
Anchorman 2 | Will Ferrell, Steve Carell | Comedy | news television newsroom competition
Dumb and Dumber | Jim Carrey, Jeff Daniels | Comedy | lloyd harry road trip friendship
Dumb and Dumber To | Jim Carrey, Jeff Daniels | Comedy | lloyd harry reunion comedy
Ace Ventura Pet Detective | Jim Carrey, Courteney Cox | Comedy Mystery | ace ventura detective animals miami
The Mask | Jim Carrey, Cameron Diaz | Comedy Fantasy | mask stanley greenface powers
Liar Liar | Jim Carrey, Maura Tierney | Comedy | lawyer truth wish courtroom
Bruce Almighty | Jim Carrey, Morgan Freeman | Comedy Fantasy | bruce god powers prayer
Yes Man | Jim Carrey, Zooey Deschanel | Comedy Romance | yes man positivity adventure
The 40 Year Old Virgin | Steve Carell, Catherine Keener | Romantic Comedy | virgin dating friendship romance
Knocked Up | Seth Rogen, Katherine Heigl | Romantic Comedy | pregnancy relationship comedy
Pineapple Express | Seth Rogen, James Franco | Action Comedy | marijuana police friendship chase
Tropic Thunder | Ben Stiller, Jack Black | Action Comedy | actors movie jungle war comedy
