Chirutha | Ram Charan, Neha Sharma | Action Romance | revenge love crime family
Racha | Ram Charan, Tamannaah Bhatia | Action Romance | gambling revenge family rivalry
Orange | Ram Charan, Genelia D'Souza | Romance Drama | love relationships commitment Australia
Jayam | Nithiin, Sada | Romance Drama | college love family rivalry
Dil | Nithiin, Neha | Romance Drama | college friendship love family
Ishq | Nithiin, Nithya Menen | Romance Drama | travel love relationships family
Gunde Jaari Gallanthayyinde | Nithiin, Nithya Menen | Romantic Comedy | friendship love mistaken identity
A Aa | Nithiin, Samantha Ruth Prabhu | Romance Comedy | family love marriage tradition
Bheeshma | Nithiin, Rashmika Mandanna | Romantic Comedy | love organic farming family
Check | Nithiin, Rakul Preet Singh | Sports Drama | chess prison friendship competition
Rang De | Nithiin, Keerthy Suresh | Romance Comedy | friendship marriage family love
Macharla Niyojakavargam | Nithiin, Krithi Shetty | Action Drama | politics corruption village justice
Oosaravelli | NTR Jr, Tamannaah Bhatia | Action Romance | memory revenge crime love
A Aa | Nithiin, Samantha Ruth Prabhu | Romance Comedy | family relationships marriage tradition
Run Raja Run | Sharwanand, Seerat Kapoor | Comedy Thriller | kidnapping police romance mystery
Malli Malli Idi Rani Roju | Sharwanand, Nithya Menen | Romance Drama | love memories separation music
Shatamanam Bhavati | Sharwanand, Anupama Parameswaran | Family Drama | family village relationships tradition
Prasthanam | Sharwanand, Sai Kumar | Political Drama | politics family power crime
Jaanu | Sharwanand, Samantha Ruth Prabhu | Romance Drama | school love reunion memories
Maha Samudram | Sharwanand, Siddharth | Action Drama | friendship love crime rivalry
