Toy Story | Tom Hanks, Tim Allen | Animation Comedy | toys woody buzz friendship pixar
Toy Story 2 | Tom Hanks, Tim Allen | Animation Comedy | woody buzz toys collection pixar
Toy Story 3 | Tom Hanks, Tim Allen | Animation Drama | toys woody buzz andy pixar
Toy Story 4 | Tom Hanks, Tim Allen | Animation Comedy | woody bo peep fork toy
Finding Nemo | Albert Brooks, Ellen DeGeneres | Animation Adventure | nemo marlin dory ocean fish
Finding Dory | Ellen DeGeneres, Albert Brooks | Animation Adventure | dory nemo ocean memory fish
The Incredibles | Craig T Nelson, Holly Hunter | Animation Superhero | incredibles superheroes family pixar
Incredibles 2 | Craig T Nelson, Holly Hunter | Animation Superhero | incredibles family superheroes jack jack
Ratatouille | Patton Oswalt, Ian Holm | Animation Comedy | remy rat chef paris cooking pixar
WALL E | Ben Burtt, Elissa Knight | Animation Sci-Fi | wall e robot earth space pixar
Up | Ed Asner, Christopher Plummer | Animation Adventure | carl russell house balloons pixar
Inside Out | Amy Poehler, Phyllis Smith | Animation Comedy | emotions joy sadness mind pixar
Inside Out 2 | Amy Poehler, Maya Hawke | Animation Comedy | emotions anxiety joy puberty pixar
Coco | Anthony Gonzalez, Gael Garcia Bernal | Animation Fantasy | miguel music dead ancestors mexico
Soul | Jamie Foxx, Tina Fey | Animation Fantasy | soul joe jazz music afterlife
Luca | Jacob Tremblay, Jack Dylan Grazer | Animation Fantasy | luca alberto sea monster italy
Turning Red | Rosalie Chiang, Sandra Oh | Animation Comedy | mei panda family school
Elemental | Leah Lewis, Mamoudou Athie | Animation Fantasy | elemental fire water city romance
Onward | Tom Holland, Chris Pratt | Animation Fantasy | brothers magic quest pixar
Monsters Inc | John Goodman, Billy Crystal | Animation Comedy | monsters sulley mike doors pixar
