Rangasthalam | Ram Charan, Samantha Ruth Prabhu | Period Action Drama | village politics revenge elections brotherhood
Dhruva | Ram Charan, Rakul Preet Singh | Action Thriller | police crime mastermind investigation
Yevadu | Ram Charan, Shruti Haasan | Action Thriller | revenge identity crime surgery
Naayak | Ram Charan, Kajal Aggarwal | Action Comedy | politics corruption identity friendship
Bruce Lee The Fighter | Ram Charan, Rakul Preet Singh | Action Comedy | martial arts family crime police
Govindudu Andarivadele | Ram Charan, Kajal Aggarwal | Family Drama | family reunion village relationships tradition
Vinaya Vidheya Rama | Ram Charan, Kiara Advani | Action Drama | family brothers revenge protection
Acharya | Chiranjeevi, Ram Charan | Action Drama | temple corruption village justice
Khaidi No. 150 | Chiranjeevi, Kajal Aggarwal | Action Drama | farmers corporate injustice village
Sye Raa Narasimha Reddy | Chiranjeevi, Nayanthara | Historical Action | freedom rebellion British warrior
Waltair Veerayya | Chiranjeevi, Ravi Teja | Action Comedy | smuggling police revenge fishing harbor
Veera Simha Reddy | Balakrishna, Shruti Haasan | Action Drama | family revenge faction village
GodFather | Chiranjeevi, Nayanthara | Political Action | politics family succession crime
Bholaa Shankar | Chiranjeevi, Keerthy Suresh | Action Drama | brother sister crime revenge
Shankar Dada MBBS | Chiranjeevi, Sonali Bendre | Comedy Drama | doctor medicine friendship hospital
Shankar Dada Zindabad | Chiranjeevi, Srikanth | Comedy Drama | nonviolence social reform friendship
Stalin | Chiranjeevi, Trisha Krishnan | Action Drama | helping others army corruption justice
Tagore | Chiranjeevi, Jyothika | Action Drama | corruption education justice vigilante
Indra | Chiranjeevi, Sonali Bendre | Action Drama | faction family village rivalry
Annayya | Chiranjeevi, Soundarya | Family Drama | brothers family sacrifice relationships
