Bajirao Mastani | Ranveer Singh, Deepika Padukone | Historical Romance | warrior kingdom love Maratha
Padmaavat | Deepika Padukone, Shahid Kapoor | Historical Drama | queen kingdom war sacrifice
Ram-Leela | Ranveer Singh, Deepika Padukone | Romance Drama | Gujarat rivalry families love
Goliyon Ki Raasleela Ram-Leela | Ranveer Singh, Deepika Padukone | Romance Drama | rivalry families Gujarat romance
Lootera | Ranveer Singh, Sonakshi Sinha | Romance Drama | thief love village betrayal
Gully Boy | Ranveer Singh, Alia Bhatt | Musical Drama | rap Mumbai dreams poverty music
Dil Dhadakne Do | Ranveer Singh, Priyanka Chopra | Comedy Drama | family cruise relationships marriage
Simmba | Ranveer Singh, Sara Ali Khan | Action Comedy | police corruption justice crime
83 | Ranveer Singh, Deepika Padukone | Sports Biography | cricket World Cup Kapil Dev victory
Ladies vs Ricky Bahl | Ranveer Singh, Anushka Sharma | Romantic Comedy | con artist women revenge
Band Baaja Baaraat | Ranveer Singh, Anushka Sharma | Romantic Comedy | wedding business friendship Delhi
Ladies First | Deepika Padukone, Ranveer Singh | Drama | sports women ambition competition
Rock On!! | Farhan Akhtar, Arjun Rampal | Musical Drama | band friendship music reunion
Luck by Chance | Farhan Akhtar, Konkona Sen Sharma | Drama | Bollywood filmmaking ambition career
Dil Dhadakne Do | Ranveer Singh, Priyanka Chopra | Family Comedy Drama | family cruise relationships
A Wednesday! | Naseeruddin Shah, Anupam Kher | Thriller Drama | terrorism police Mumbai crisis
Special 26 | Akshay Kumar, Manoj Bajpayee | Crime Thriller | robbery police investigation 1987
Baby | Akshay Kumar, Taapsee Pannu | Action Thriller | intelligence agents terrorism mission
Holiday | Akshay Kumar, Sonakshi Sinha | Action Thriller | army terrorism sleeper cells
Airlift | Akshay Kumar, Nimrat Kaur | Historical Drama | Kuwait evacuation war civilians
