Manmadhudu | Nagarjuna, Sonali Bendre | Romantic Comedy | love friendship office relationships
Bommarillu | Siddharth, Genelia D'Souza | Romance Drama | family love marriage independence
Nuvvostanante Nenoddantana | Siddharth, Trisha Krishnan | Romance Drama | village love family marriage
Ye Maaya Chesave | Naga Chaitanya, Samantha Ruth Prabhu | Romance Drama | love filmmaking relationships dreams
Orange | Ram Charan, Genelia D'Souza | Romance Drama | love relationships Australia commitment
Happy | Allu Arjun, Genelia D'Souza | Romance Comedy | friendship marriage family relationships
Oy! | Siddharth, Shamili | Romance Drama | love friendship illness college
Kotha Bangaru Lokam | Varun Sandesh, Swetha Basu Prasad | Romance Drama | college love family education
Fidaa | Varun Tej, Sai Pallavi | Romance Drama | village love family Telangana
Love Story | Naga Chaitanya, Sai Pallavi | Romance Drama | dance love caste dreams
Pelli Choopulu | Vijay Deverakonda, Ritu Varma | Romantic Comedy | startup marriage food friendship
Chi La Sow | Sushanth, Ruhani Sharma | Romantic Comedy | marriage relationships family meeting
C/O Kancharapalem | Subba Rao, Radha Besse | Drama | relationships village love community
Middle Class Melodies | Anand Deverakonda, Varsha Bollamma | Comedy Drama | food village family ambition
Sammohanam | Sudheer Babu, Aditi Rao Hydari | Romance Drama | cinema relationships love family
Brochevarevarura | Sree Vishnu, Nivetha Thomas | Comedy Thriller | friendship crime college mystery
Ee Nagaraniki Emaindhi | Vishwadev Rachakonda, Sushanth Reddy | Comedy Drama | friendship filmmaking Goa dreams
Padi Padi Leche Manasu | Sharwanand, Sai Pallavi | Romance Drama | love memory Kolkata relationships
Majnu | Nani, Anu Emmanuel | Romance Comedy | love filmmaking friendship college
Ninnu Kori | Nani, Nivetha Thomas | Romance Drama | marriage relationships love friendship
