The Hunger Games | Jennifer Lawrence, Josh Hutcherson | Sci-Fi Drama | hunger games katniss peeta capitol
Catching Fire | Jennifer Lawrence, Josh Hutcherson | Sci-Fi Drama | hunger games katniss peeta rebellion
Mockingjay Part 1 | Jennifer Lawrence, Josh Hutcherson | Sci-Fi Drama | katniss rebellion district capitol
Mockingjay Part 2 | Jennifer Lawrence, Josh Hutcherson | Sci-Fi Drama | katniss capitol rebellion snow
Divergent | Shailene Woodley, Theo James | Sci-Fi Action | divergent tris factions chicago
Insurgent | Shailene Woodley, Theo James | Sci-Fi Action | divergent tris factions resistance
Allegiant | Shailene Woodley, Theo James | Sci-Fi Action | divergent tris outside chicago
The Maze Runner | Dylan OBrien, Kaya Scodelario | Sci-Fi Action | maze runner thomas glade mystery
Maze Runner Scorch Trials | Dylan OBrien, Kaya Scodelario | Sci-Fi Action | maze runner scorch wckd survival
Maze Runner Death Cure | Dylan OBrien, Kaya Scodelario | Sci-Fi Action | maze runner wckd cure thomas
Enders Game | Asa Butterfield, Harrison Ford | Sci-Fi Action | ender battle school aliens strategy
Ready Player One | Tye Sheridan, Olivia Cooke | Sci-Fi Adventure | oasis virtual reality game
The Giver | Jeff Bridges, Meryl Streep | Sci-Fi Drama | giver memories society jonas future
The Fifth Wave | Chloe Grace Moretz, Matthew Zuk | Sci-Fi Action | aliens invasion cassie survival
The Host | Saoirse Ronan, Jake Abel | Sci-Fi Romance | aliens souls earth resistance
Warm Bodies | Nicholas Hoult, Teresa Palmer | Romance Fantasy | zombie r zombie julie love
The Mortal Instruments City of Bones | Lily Collins, Jamie Campbell Bower | Fantasy Action | shadowhunters clary demons rune
Beautiful Creatures | Alden Ehrenreich, Alice Englert | Fantasy Romance | caster lena ethan magic
Percy Jackson Lightning Thief | Logan Lerman, Alexandra Daddario | Fantasy Adventure | percy jackson olympus gods quest
Percy Jackson Sea of Monsters | Logan Lerman, Alexandra Daddario | Fantasy Adventure | percy jackson camp half blood monsters
