The Great Escape | Steve McQueen, James Garner | War Drama | prisoners escape world war camp
Patton | George C Scott, Karl Malden | War Biography | general patton world war military
Platoon | Charlie Sheen, Willem Dafoe | War Drama | vietnam soldiers war platoon
Full Metal Jacket | Matthew Modine, Vincent DOnofrio | War Drama | vietnam marines training war
Apocalypse Now | Martin Sheen, Marlon Brando | War Drama | vietnam captain kurtz river war
The Deer Hunter | Robert De Niro, Christopher Walken | War Drama | vietnam friends russian roulette
Black Hawk Down | Josh Hartnett, Ewan McGregor | War Drama | somalia soldiers helicopter battle
We Were Soldiers | Mel Gibson, Greg Kinnear | War Drama | vietnam battle soldiers cavalry
Pearl Harbor | Ben Affleck, Josh Hartnett | War Romance | pearl harbor pilots japan love
Midway | Ed Skrein, Patrick Wilson | War Action | midway navy japan battle
Fury | Brad Pitt, Shia LaBeouf | War Drama | tank soldiers germany world war
Hacksaw Ridge | Andrew Garfield, Sam Worthington | War Biography | medic desmond doss pacific war
1917 | George MacKay, Dean Charles Chapman | War Drama | world war mission trenches soldiers
All Quiet on the Western Front | Felix Kammerer, Albrecht Schuch | War Drama | world war trenches germany soldiers
The Thin Red Line | Jim Caviezel, Sean Penn | War Drama | guadalcanal soldiers pacific war
Letters from Iwo Jima | Ken Watanabe, Kazunari Ninomiya | War Drama | japan iwo jima soldiers war
Enemy at the Gates | Jude Law, Ed Harris | War Drama | stalingrad sniper germany russia
Behind Enemy Lines | Owen Wilson, Gene Hackman | War Action | pilot bosnia survival rescue
Tears of the Sun | Bruce Willis, Monica Bellucci | War Drama | nigeria soldiers refugees rescue
Three Kings | George Clooney, Mark Wahlberg | War Comedy | iraq soldiers gold desert
