The Conjuring | Vera Farmiga, Patrick Wilson | Horror Mystery | conjuring warren haunted house demon
The Conjuring 2 | Vera Farmiga, Patrick Wilson | Horror Mystery | conjuring valak nun haunting
Annabelle | Annabelle Wallis, Ward Horton | Horror Supernatural | annabelle doll demon haunting
Annabelle Creation | Stephanie Sigman, Talitha Bateman | Horror Supernatural | annabelle doll orphanage demon
The Nun | Taissa Farmiga, Bonnie Aarons | Horror Supernatural | nun valak convent demon
The Nun II | Taissa Farmiga, Jonas Bloquet | Horror Supernatural | nun valak church demon
Insidious | Patrick Wilson, Rose Byrne | Horror Supernatural | insidious astral projection demon
Insidious Chapter 2 | Patrick Wilson, Rose Byrne | Horror Supernatural | insidious ghost demon family
Insidious Chapter 3 | Stefanie Scott, Lin Shaye | Horror Supernatural | insidious demon psychic haunting
Insidious The Last Key | Lin Shaye, Leigh Whannell | Horror Supernatural | insidious key demon childhood
Insidious The Red Door | Patrick Wilson, Rose Byrne | Horror Supernatural | insidious red door demon family
Sinister 2 | James Ransone, Shannyn Sossamon | Horror Mystery | sinister films murders demon
Ouija | Olivia Cooke, Ana Coto | Horror Supernatural | ouija board spirit ghost
Ouija Origin of Evil | Elizabeth Reaser, Lulu Wilson | Horror Supernatural | ouija spirit family demon
The Visit | Olivia DeJonge, Ed Oxenbould | Horror Thriller | visit grandparents farmhouse children
Split | James McAvoy, Anya Taylor Joy | Psychological Thriller | split personalities kidnapping beast
Glass | James McAvoy, Bruce Willis | Superhero Thriller | glass horde beast security superhero
The Village | Bryce Dallas Howard, Joaquin Phoenix | Mystery Thriller | village forest creatures isolation
The Sixth Sense | Bruce Willis, Haley Joel Osment | Supernatural Drama | ghosts sixth sense boy philadelphia
Signs | Mel Gibson, Joaquin Phoenix | Sci-Fi Thriller | aliens signs farm family invasion
