Soggade Chinni Nayana | Nagarjuna, Ramya Krishnan | Fantasy Comedy | family village ghost relationships
Oopiri | Nagarjuna, Karthi | Drama | friendship disability travel family
Hello Brother | Nagarjuna, Soundarya | Action Comedy | twins identity family romance
Annamayya | Nagarjuna, Mohan Babu | Biographical Drama | devotion music temple spirituality
Sri Ramadasu | Nagarjuna, Sneha | Historical Drama | devotion music temple kingdom
Rajanna | Nagarjuna, Sneha | Historical Action | freedom village rebellion British
Manam | Nagarjuna, Naga Chaitanya | Fantasy Drama | family reincarnation love relationships
Premam | Naga Chaitanya, Shruti Haasan | Romance Drama | college love friendship music
Majili | Naga Chaitanya, Samantha Ruth Prabhu | Romance Drama | cricket marriage heartbreak healing
100% Love | Naga Chaitanya, Tamannaah Bhatia | Romance Comedy | college competition family love
Rarandoi Veduka Chudham | Naga Chaitanya, Rakul Preet Singh | Romance Drama | family marriage village relationships
Oka Laila Kosam | Naga Chaitanya, Pooja Hegde | Romance Comedy | college love family friendship
Sahasam Swaasaga Saagipo | Naga Chaitanya, Manjima Mohan | Romance Thriller | travel love crime adventure
Thank You | Naga Chaitanya, Raashi Khanna | Drama | relationships career friendship self discovery
Bangarraju | Nagarjuna, Naga Chaitanya | Fantasy Drama | family village ancestors relationships
Custody | Naga Chaitanya, Krithi Shetty | Action Thriller | police witness crime protection
Dhamarukam | Nagarjuna, Anushka Shetty | Fantasy Thriller | supernatural mythology demon prophecy
Greeku Veerudu | Nagarjuna, Nayanthara | Romance Drama | family relationships America identity
Ragada | Nagarjuna, Anushka Shetty | Action Comedy | gangster crime revenge friendship
King | Nagarjuna, Trisha Krishnan | Action Comedy | family identity gangster romance
