Interstellar | Matthew McConaughey, Anne Hathaway | Sci-Fi Adventure | interstellar space wormhole black hole astronaut nasa
Inception | Leonardo DiCaprio, Joseph Gordon-Levitt | Sci-Fi Thriller | inception dreams dream heist subconscious
The Matrix | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo trinity morpheus machines virtual reality
The Matrix Reloaded | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo machines zion oracle
The Matrix Revolutions | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo smith machines war
Avatar | Sam Worthington, Zoe Saldana | Sci-Fi Adventure | avatar pandora na vi jake sully aliens
Avatar The Way of Water | Sam Worthington, Zoe Saldana | Sci-Fi Adventure | avatar pandora ocean na vi family
Dune | Timothee Chalamet, Rebecca Ferguson | Sci-Fi Adventure | dune arrakis paul atreides spice fremen
Dune Part Two | Timothee Chalamet, Zendaya | Sci-Fi Adventure | dune arrakis paul atreides fremen war
Blade Runner 2049 | Ryan Gosling, Harrison Ford | Sci-Fi Mystery | blade runner replicant android future detective
Arrival | Amy Adams, Jeremy Renner | Sci-Fi Drama | arrival aliens language time communication
The Martian | Matt Damon, Jessica Chastain | Sci-Fi Adventure | martian mars astronaut survival nasa
Gravity | Sandra Bullock, George Clooney | Sci-Fi Thriller | gravity space astronaut orbit survival
Alien | Sigourney Weaver, Tom Skerritt | Sci-Fi Horror | alien xenomorph spaceship ripley space horror
Aliens | Sigourney Weaver, Michael Biehn | Sci-Fi Horror | aliens ripley xenomorph colony space
Terminator 2 Judgment Day | Arnold Schwarzenegger, Linda Hamilton | Sci-Fi Action | terminator skynet robot t800 john connor
Edge of Tomorrow | Tom Cruise, Emily Blunt | Sci-Fi Action | edge tomorrow time loop aliens battle
Ready Player One | Tye Sheridan, Olivia Cooke | Sci-Fi Adventure | ready player one oasis virtual reality game
Ex Machina | Domhnall Gleeson, Alicia Vikander | Sci-Fi Thriller | ex machina ai robot ava technology
Pacific Rim | Charlie Hunnam, Idris Elba | Sci-Fi Action | pacific rim kaiju jaeger robots monsters
