Thammudu | Pawan Kalyan, Preeti Jhangiani | Sports Drama | boxing family brotherhood competition
Badri | Pawan Kalyan, Ameesha Patel | Romance Drama | love friendship relationships college
Cameraman Gangatho Rambabu | Pawan Kalyan, Tamannaah Bhatia | Political Action | journalism politics corruption media
Panjaa | Pawan Kalyan, Sarah Jane Dias | Action Thriller | gangster loyalty revenge crime
Sardaar Gabbar Singh | Pawan Kalyan, Kajal Aggarwal | Action Comedy | police village gangster justice
Katamarayudu | Pawan Kalyan, Shruti Haasan | Action Drama | brothers village family rivalry
Teen Maar | Pawan Kalyan, Trisha Krishnan | Romance Comedy | love friendship relationships Europe
Puli | Pawan Kalyan, Nikesha Patel | Fantasy Action | kingdom warrior princess rebellion
Komaram Puli | Pawan Kalyan, Nikesha Patel | Action Thriller | police terrorism investigation justice
Bangaram | Pawan Kalyan, Meera Chopra | Action Drama | journalist crime family investigation
Annavaram | Pawan Kalyan, Asin | Action Drama | brother sister village protection revenge
Johnny | Pawan Kalyan, Renu Desai | Sports Drama | boxing love family competition
Gopala Gopala | Pawan Kalyan, Venkatesh | Comedy Drama | faith religion business friendship
Tammudu | Pawan Kalyan, Preeti Jhangiani | Sports Drama | boxing brotherhood competition
Akkada Ammayi Ikkada Abbayi | Pawan Kalyan, Supriya Yarlagadda | Romance Drama | village rivalry love family
Kushi | Pawan Kalyan, Bhumika Chawla | Romance Comedy | friendship love college relationships
Gudumba Shankar | Pawan Kalyan, Meera Jasmine | Action Comedy | disguise romance family village
Balu | Pawan Kalyan, Shriya Saran | Action Romance | friendship romance crime identity
Puli Bebbuli | Chiranjeevi, Radha | Action Drama | family revenge village conflict
Suswagatham | Pawan Kalyan, Devayani | Romance Drama | love family sacrifice friendship
