The Conjuring | Vera Farmiga, Patrick Wilson | Horror Mystery | conjuring ed lorraine warren ghost haunted house
The Conjuring 2 | Vera Farmiga, Patrick Wilson | Horror Mystery | conjuring nun valak ghost haunted house
The Conjuring The Devil Made Me Do It | Vera Farmiga, Patrick Wilson | Horror Mystery | conjuring demon possession warren supernatural
Annabelle | Annabelle Wallis, Ward Horton | Horror Mystery | annabelle doll demon possession haunted
Annabelle Creation | Stephanie Sigman, Talitha Bateman | Horror Mystery | annabelle doll orphanage demon haunted
The Nun | Taissa Farmiga, Bonnie Aarons | Horror Supernatural | nun valak demon convent supernatural
The Nun II | Taissa Farmiga, Jonas Bloquet | Horror Supernatural | nun valak demon church supernatural
Insidious | Patrick Wilson, Rose Byrne | Horror Supernatural | insidious astral projection red demon haunted
Insidious Chapter 2 | Patrick Wilson, Rose Byrne | Horror Supernatural | insidious family ghost red demon
Insidious The Red Door | Patrick Wilson, Rose Byrne | Horror Supernatural | insidious dalton red door demon ghost
It | Bill Skarsgard, Jaeden Martell | Horror Thriller | pennywise it clown derry children horror
It Chapter Two | Bill Skarsgard, James McAvoy | Horror Thriller | pennywise derry losers club clown horror
A Quiet Place | Emily Blunt, John Krasinski | Horror Sci-Fi | quiet place monsters sound survival family
A Quiet Place Part II | Emily Blunt, Cillian Murphy | Horror Sci-Fi | quiet place monsters sound survival
A Quiet Place Day One | Lupita Nyongo, Joseph Quinn | Horror Sci-Fi | quiet place monsters invasion survival
The Exorcist | Ellen Burstyn, Linda Blair | Horror Supernatural | exorcist regan demon possession priest
The Shining | Jack Nicholson, Shelley Duvall | Psychological Horror | shining hotel jack wendy isolation ghost
Halloween | Jamie Lee Curtis, Donald Pleasence | Slasher Horror | halloween michael myers slasher knife
Scream | Neve Campbell, Courteney Cox, David Arquette | Slasher Mystery | scream ghostface woodsboro killer mystery
The Ring | Naomi Watts, Martin Henderson | Supernatural Horror | ring samara videotape curse ghost
