Student No. 1 | NTR Jr, Gajala | Action Drama | college education friendship crime
Simhadri | NTR Jr, Bhoomika Chawla | Action Drama | family village revenge protection
Yamadonga | NTR Jr, Priyamani | Fantasy Comedy | mythology afterlife friendship adventure
Brindavanam | NTR Jr, Kajal Aggarwal | Family Romance | family marriage village relationships
Temper | NTR Jr, Kajal Aggarwal | Action Drama | police corruption crime justice
Janatha Garage | NTR Jr, Samantha Ruth Prabhu | Action Drama | mechanics environment family justice
Aravinda Sametha Veera Raghava | NTR Jr, Pooja Hegde | Action Drama | faction village peace family revenge
Devara Part 1 | NTR Jr, Janhvi Kapoor | Action Drama | coastal village smuggling bravery family
Kantri | NTR Jr, Hansika Motwani | Action Drama | family crime revenge treasure
Rabhasa | NTR Jr, Samantha Ruth Prabhu | Action Comedy | family marriage rivalry comedy
Ramayya Vasthavayya | NTR Jr, Samantha Ruth Prabhu | Action Romance | college love revenge family
Shakti | NTR Jr, Ileana D'Cruz | Fantasy Action | mythology kingdom warrior treasure
Adhurs | NTR Jr, Nayantara | Action Comedy | twins crime friendship identity
Baadshah | NTR Jr, Kajal Aggarwal | Action Comedy | gangster undercover crime romance
Jai Lava Kusa | NTR Jr, Raashi Khanna | Action Drama | brothers crime identity revenge
Nannaku Prematho | NTR Jr, Rakul Preet Singh | Action Drama | father revenge intelligence family
Alludu Seenu | Bellamkonda Sreenivas, Samantha Ruth Prabhu | Action Comedy | identity romance family comedy
Akhil | Akhil Akkineni, Sayesha Saigal | Fantasy Action | supernatural powers adventure romance
Most Eligible Bachelor | Akhil Akkineni, Pooja Hegde | Romance Comedy | marriage relationships family career
Agent | Akhil Akkineni, Sakshi Vaidya | Spy Action | intelligence mission crime investigation
