Shrek | Mike Myers, Eddie Murphy | Animation Comedy | shrek donkey fairy tale ogre
Shrek 2 | Mike Myers, Eddie Murphy | Animation Comedy | shrek donkey far far away
Shrek the Third | Mike Myers, Eddie Murphy | Animation Comedy | shrek prince arthur kingdom
Shrek Forever After | Mike Myers, Eddie Murphy | Animation Comedy | shrek rita rumple alternate world
Kung Fu Panda | Jack Black, Angelina Jolie | Animation Action | panda po martial arts kung fu
Kung Fu Panda 2 | Jack Black, Angelina Jolie | Animation Action | po kung fu shen panda
Kung Fu Panda 3 | Jack Black, Dustin Hoffman | Animation Action | po kai panda kung fu
Kung Fu Panda 4 | Jack Black, Awkwafina | Animation Action | po zhen chameleon kung fu
How to Train Your Dragon | Jay Baruchel, Gerard Butler | Animation Adventure | hiccup toothless dragons vikings
How to Train Your Dragon 2 | Jay Baruchel, Cate Blanchett | Animation Adventure | hiccup toothless dragons berk
How to Train Your Dragon The Hidden World | Jay Baruchel, America Ferrera | Animation Adventure | hiccup toothless light fury dragons
Madagascar | Ben Stiller, Chris Rock | Animation Comedy | animals zoo africa alex
Madagascar Escape 2 Africa | Ben Stiller, Chris Rock | Animation Comedy | animals africa zoo alex
Madagascar 3 Europes Most Wanted | Ben Stiller, Chris Rock | Animation Comedy | animals circus europe alex
Megamind | Will Ferrell, Tina Fey | Animation Superhero | megamind metro man villain hero
The Croods | Nicolas Cage, Emma Stone | Animation Adventure | croods family cave prehistoric
The Croods A New Age | Nicolas Cage, Emma Stone | Animation Adventure | croods family bettermans prehistoric
Trolls | Anna Kendrick, Justin Timberlake | Animation Musical | trolls pop music happiness
The Boss Baby | Alec Baldwin, Miles Bakshi | Animation Comedy | baby boss family business
Puss in Boots The Last Wish | Antonio Banderas, Salma Hayek | Animation Adventure | puss boots wolf wishes adventure
