The Notebook | Ryan Gosling, Rachel McAdams | Romance Drama | notebook love romance allie noah
La La Land | Ryan Gosling, Emma Stone | Romance Musical | la la land jazz hollywood dreams
Crazy Rich Asians | Constance Wu, Henry Golding | Romance Comedy | singapore wedding wealthy family romance
Pretty Woman | Richard Gere, Julia Roberts | Romance Comedy | vivian edward love los angeles
Notting Hill | Hugh Grant, Julia Roberts | Romance Comedy | london actress bookstore romance
Love Actually | Hugh Grant, Emma Thompson | Romance Comedy | love london christmas relationships
10 Things I Hate About You | Heath Ledger, Julia Stiles | Romance Comedy | high school romance dating
The Fault in Our Stars | Shailene Woodley, Ansel Elgort | Romance Drama | cancer love hazel augustus
Me Before You | Emilia Clarke, Sam Claflin | Romance Drama | lou will wheelchair love
The Vow | Rachel McAdams, Channing Tatum | Romance Drama | marriage memory accident love
Pride and Prejudice | Keira Knightley, Matthew Macfadyen | Romance Drama | elizabeth darcy england marriage
A Walk to Remember | Mandy Moore, Shane West | Romance Drama | jamie landon school love
500 Days of Summer | Zooey Deschanel, Joseph Gordon Levitt | Romance Comedy | tom summer relationship love
Crazy Stupid Love | Steve Carell, Ryan Gosling | Romance Comedy | relationships dating love divorce
The Holiday | Cameron Diaz, Kate Winslet | Romance Comedy | holiday house swap love christmas
Sleepless in Seattle | Tom Hanks, Meg Ryan | Romance Comedy | seattle radio romance destiny
When Harry Met Sally | Billy Crystal, Meg Ryan | Romance Comedy | harry sally friendship love new york
Pretty in Pink | Molly Ringwald, Jon Cryer | Romance Drama | high school love friendship prom
The Proposal | Sandra Bullock, Ryan Reynolds | Romance Comedy | proposal marriage alaska boss
Letters to Juliet | Amanda Seyfried, Vanessa Redgrave | Romance Drama | verona juliet letters love italy
