Hera Pheri | Akshay Kumar, Suniel Shetty | Comedy | friendship money kidnapping Mumbai
Phir Hera Pheri | Akshay Kumar, Suniel Shetty | Comedy | money business friendship confusion
Welcome | Akshay Kumar, Nana Patekar | Comedy | gangster marriage family Mumbai
Welcome Back | John Abraham, Shruti Haasan | Comedy | gangsters marriage family Dubai
Bhool Bhulaiyaa | Akshay Kumar, Vidya Balan | Horror Comedy | palace ghost psychology mystery
Garam Masala | Akshay Kumar, John Abraham | Comedy | friendship women hotel photographer
Housefull | Akshay Kumar, Riteish Deshmukh | Comedy | marriage confusion family London
Housefull 2 | Akshay Kumar, Asin | Comedy | family marriage inheritance confusion
Housefull 3 | Akshay Kumar, Abhishek Bachchan | Comedy | brothers marriage family deception
Housefull 4 | Akshay Kumar, Riteish Deshmukh | Comedy | reincarnation marriage historical comedy
Phir Hera Pheri | Akshay Kumar, Suniel Shetty | Comedy | money friendship business
Singh Is Kinng | Akshay Kumar, Katrina Kaif | Comedy Action | gangster Punjab Australia friendship
Namastey London | Akshay Kumar, Katrina Kaif | Romance Comedy | India London marriage culture
Mujhse Shaadi Karogi | Salman Khan, Akshay Kumar | Romantic Comedy | friendship marriage rivalry Goa
Partner | Salman Khan, Govinda | Romantic Comedy | dating friendship love Mumbai
Ready | Salman Khan, Asin | Romantic Comedy | family marriage revenge comedy
Bodyguard | Salman Khan, Kareena Kapoor | Action Romance | bodyguard protection love
Ek Tha Tiger | Salman Khan, Katrina Kaif | Action Thriller | spy agents India Pakistan
Tiger Zinda Hai | Salman Khan, Katrina Kaif | Action Thriller | rescue mission Iraq spies
Sultan | Salman Khan, Anushka Sharma | Sports Drama | wrestling comeback family training
