The Chronicles of Riddick | Vin Diesel, Judi Dench | Sci-Fi Action | riddick necromonger space prison
Pitch Black | Vin Diesel, Radha Mitchell | Sci-Fi Horror | riddick planet creatures survival
Riddick | Vin Diesel, Katee Sackhoff | Sci-Fi Action | riddick planet mercenaries survival
xXx | Vin Diesel, Asia Argento | Action Thriller | xander cage extreme sports spy
xXx State of the Union | Ice Cube, Samuel L Jackson | Action Thriller | xander cage government conspiracy
Fast and Furious | Vin Diesel, Paul Walker | Action | street racing cars heist
Fast Five | Vin Diesel, Paul Walker | Action | fast furious heist rio cars
Fast and Furious 6 | Vin Diesel, Paul Walker | Action | fast furious team cars heist
Furious 7 | Vin Diesel, Paul Walker | Action | fast furious revenge cars family
The Fate of the Furious | Vin Diesel, Dwayne Johnson | Action | fast furious cars hacker family
F9 | Vin Diesel, Michelle Rodriguez | Action | fast furious space cars family
Fast X | Vin Diesel, Jason Momoa | Action | fast furious revenge road family
Bloodshot | Vin Diesel, Eiza Gonzalez | Superhero Action | bloodshot nanotechnology soldier revenge
Guardians of the Galaxy | Chris Pratt, Zoe Saldana | Superhero Sci-Fi | guardians star lord groot galaxy
Jungle Cruise | Dwayne Johnson, Emily Blunt | Adventure Fantasy | jungle cruise amazon river expedition
Skyscraper | Dwayne Johnson, Neve Campbell | Action Thriller | skyscraper rescue fire hong kong
San Andreas | Dwayne Johnson, Carla Gugino | Disaster Action | earthquake california rescue family
Central Intelligence | Dwayne Johnson, Kevin Hart | Action Comedy | cia agents friendship high school
Rampage | Dwayne Johnson, Naomie Harris | Action Sci-Fi | rampage monsters george city
Walking Tall | Dwayne Johnson, Johnny Knoxville | Action Drama | sheriff crime town justice
