The Great Gatsby | Leonardo DiCaprio, Carey Mulligan | Drama Romance | gatsby daisy wealth new york jazz
Moulin Rouge | Nicole Kidman, Ewan McGregor | Musical Romance | paris cabaret love music bohemian
Chicago | Renée Zellweger, Catherine Zeta Jones | Musical Crime | chicago murder fame courtroom
The Greatest Showman | Hugh Jackman, Zac Efron | Musical Drama | circus barnum music performers
Bohemian Rhapsody | Rami Malek, Lucy Boynton | Musical Biography | queen freddie mercury music band
Rocketman | Taron Egerton, Jamie Bell | Musical Biography | elton john music singer life
Elvis | Austin Butler, Tom Hanks | Musical Biography | elvis presley music singer memphis
Walk the Line | Joaquin Phoenix, Reese Witherspoon | Musical Biography | johnny cash june carter music
A Star Is Born | Bradley Cooper, Lady Gaga | Musical Romance | singer musician fame romance
Mamma Mia | Meryl Streep, Amanda Seyfried | Musical Romance | abba music wedding island
Mamma Mia Here We Go Again | Lily James, Amanda Seyfried | Musical Romance | abba donna young love island
West Side Story | Rachel Zegler, Ansel Elgort | Musical Romance | west side gangs dance new york
Les Miserables | Hugh Jackman, Russell Crowe | Musical Drama | jean valjean france revolution
Into the Woods | Meryl Streep, Emily Blunt | Musical Fantasy | fairy tales woods witch magic
Sweeney Todd | Johnny Depp, Helena Bonham Carter | Musical Horror | barber revenge london pies
Dreamgirls | Jamie Foxx, Beyoncé Knowles | Musical Drama | singers dreams music motown
Hairspray | John Travolta, Nikki Blonsky | Musical Comedy | dance television baltimore integration
Grease | John Travolta, Olivia Newton John | Musical Romance | high school greased lightning romance
The Sound of Music | Julie Andrews, Christopher Plummer | Musical Drama | maria von trapp austria music
Mary Poppins | Julie Andrews, Dick Van Dyke | Fantasy Musical | mary poppins nanny london children
