The Matrix | Keanu Reeves, Laurence Fishburne | Sci-Fi Action | matrix neo trinity machines virtual reality
The Island | Ewan McGregor, Scarlett Johansson | Sci-Fi Thriller | island clones future escape
Oblivion | Tom Cruise, Morgan Freeman | Sci-Fi Action | earth drones alien memory future
Tron Legacy | Garrett Hedlund, Jeff Bridges | Sci-Fi Action | tron grid programs digital world
Tron | Jeff Bridges, Bruce Boxleitner | Sci-Fi Action | tron computer games digital world
Real Steel | Hugh Jackman, Dakota Goyo | Sci-Fi Sports | robots boxing father son future
Chappie | Sharlto Copley, Dev Patel | Sci-Fi Action | robot ai police crime
District 9 | Sharlto Copley, David James | Sci-Fi Action | aliens apartheid johannesburg technology
Elysium | Matt Damon, Jodie Foster | Sci-Fi Action | future earth space station inequality
Transcendence | Johnny Depp, Rebecca Hall | Sci-Fi Thriller | artificial intelligence consciousness technology
Lucy | Scarlett Johansson, Morgan Freeman | Sci-Fi Action | lucy brain powers drugs technology
Limitless | Bradley Cooper, Robert De Niro | Sci-Fi Thriller | limitless drug intelligence success
In Time | Justin Timberlake, Amanda Seyfried | Sci-Fi Action | time currency future inequality
Equilibrium | Christian Bale, Taye Diggs | Sci-Fi Action | future emotion government rebellion
Gattaca | Ethan Hawke, Uma Thurman | Sci-Fi Drama | genetics future identity space
Minority Report | Tom Cruise, Colin Farrell | Sci-Fi Thriller | precogs future crime police
Total Recall | Arnold Schwarzenegger, Sharon Stone | Sci-Fi Action | mars memory future conspiracy
Contact | Jodie Foster, Matthew McConaughey | Sci-Fi Drama | aliens signal space science
Close Encounters of the Third Kind | Richard Dreyfuss, François Truffaut | Sci-Fi Drama | aliens ufos contact mountain
The Abyss | Ed Harris, Mary Elizabeth Mastrantonio | Sci-Fi Adventure | ocean submarine aliens underwater
