Baahubali The Beginning | Prabhas, Rana Daggubati | Epic Action | kingdom warrior revenge Mahishmati
Baahubali The Conclusion | Prabhas, Anushka Shetty | Epic Action | kingdom war family betrayal
RRR | Ram Charan, NTR Jr | Historical Action | friendship freedom revolution British
Magadheera | Ram Charan, Kajal Aggarwal | Fantasy Action | reincarnation warrior kingdom love
Eega | Nani, Samantha Ruth Prabhu | Fantasy Action | fly revenge romance supernatural
Arjun Reddy | Vijay Deverakonda, Shalini Pandey | Romance Drama | medical college love addiction
Geetha Govindam | Vijay Deverakonda, Rashmika Mandanna | Romantic Comedy | mistaken identity family marriage
Dear Comrade | Vijay Deverakonda, Rashmika Mandanna | Romance Drama | cricket politics relationships activism
Taxiwaala | Vijay Deverakonda, Priyanka Jawalkar | Horror Comedy | taxi ghost supernatural mystery
Nota | Vijay Deverakonda, Mehreen Pirzada | Political Drama | politics chief minister elections
Jersey | Nani, Shraddha Srinath | Sports Drama | cricket father son comeback
Shyam Singha Roy | Nani, Sai Pallavi | Fantasy Romance | reincarnation Bengal dance social reform
Dasara | Nani, Keerthy Suresh | Action Drama | village friendship coal mining revenge
Hi Nanna | Nani, Mrunal Thakur | Romance Drama | father daughter love family
Ante Sundaraniki | Nani, Nazriya Nazim | Romantic Comedy | marriage family religion misunderstandings
Gang Leader | Nani, Priyanka Arul Mohan | Action Comedy | revenge women crime writer
V | Nani, Sudheer Babu | Action Thriller | serial killer police investigation
Tuck Jagadish | Nani, Ritu Varma | Family Drama | family property village rivalry
MCA | Nani, Sai Pallavi | Action Drama | family job corruption rivalry
Krishna Gaadi Veera Prema Gaadha | Nani, Mehreen Pirzada | Romance Action | love children gangster protection
