The Expendables | Sylvester Stallone, Jason Statham | Action | mercenaries team mission weapons
The Expendables 2 | Sylvester Stallone, Jason Statham | Action | mercenaries revenge mission team
The Expendables 3 | Sylvester Stallone, Jason Statham | Action | mercenaries new team villain
The Transporter | Jason Statham, Shu Qi | Action Thriller | transporter frank martin driving package
Transporter 2 | Jason Statham, Amber Valletta | Action Thriller | frank martin kidnapping rescue
Transporter 3 | Jason Statham, Natalya Rudakova | Action Thriller | transporter frank martin europe
Crank | Jason Statham, Amy Smart | Action Thriller | chelios poison adrenaline revenge
Crank High Voltage | Jason Statham, Amy Smart | Action Comedy | chelios heart electricity chase
The Mechanic | Jason Statham, Ben Foster | Action Thriller | assassin mechanic contract killing
Mechanic Resurrection | Jason Statham, Jessica Alba | Action Thriller | assassin mechanic revenge rescue
Safe | Jason Statham, Catherine Chan | Action Thriller | luke wright girl numbers mafia
Homefront | Jason Statham, James Franco | Action Thriller | ex agent family drugs criminals
Parker | Jason Statham, Jennifer Lopez | Crime Action | parker thief heist revenge
Killer Elite | Jason Statham, Clive Owen | Action Thriller | assassin spies revenge australia
Wrath of Man | Jason Statham, Holt McCallany | Action Thriller | armored truck revenge heist
The Italian Job | Mark Wahlberg, Charlize Theron | Crime Action | heist gold venice crew
Four Brothers | Mark Wahlberg, Tyrese Gibson | Action Crime | brothers revenge detroit crime
Shooter | Mark Wahlberg, Kate Mara | Action Thriller | sniper conspiracy government
Lone Survivor | Mark Wahlberg, Taylor Kitsch | War Drama | navy seals afghanistan mission
Deepwater Horizon | Mark Wahlberg, Kurt Russell | Disaster Drama | oil rig explosion workers
