Top Gun | Tom Cruise, Kelly McGillis | Action Drama | fighter pilots navy maverick aviation
Top Gun Maverick | Tom Cruise, Miles Teller | Action Drama | pilots navy maverick aviation mission
Mission Impossible | Tom Cruise, Jon Voight | Action Thriller | ethan hunt cia espionage mission
Mission Impossible II | Tom Cruise, Dougray Scott | Action Thriller | ethan hunt virus espionage
Mission Impossible III | Tom Cruise, Philip Seymour Hoffman | Action Thriller | ethan hunt villain mission
Mission Impossible Ghost Protocol | Tom Cruise, Jeremy Renner | Action Thriller | ethan hunt russia kremlin mission
Mission Impossible Rogue Nation | Tom Cruise, Rebecca Ferguson | Action Thriller | ethan hunt syndicate espionage
Mission Impossible Fallout | Tom Cruise, Henry Cavill | Action Thriller | ethan hunt fallout plutonium mission
Mission Impossible Dead Reckoning | Tom Cruise, Hayley Atwell | Action Thriller | ethan hunt ai entity train
Edge of Tomorrow | Tom Cruise, Emily Blunt | Sci-Fi Action | time loop aliens soldier
Minority Report | Tom Cruise, Colin Farrell | Sci-Fi Thriller | precogs future crime police
War of the Worlds | Tom Cruise, Dakota Fanning | Sci-Fi Thriller | aliens invasion survival earth
Oblivion | Tom Cruise, Morgan Freeman | Sci-Fi Action | earth drones aliens memory
Jack Reacher | Tom Cruise, Rosamund Pike | Action Thriller | jack reacher investigation sniper
Jack Reacher Never Go Back | Tom Cruise, Cobie Smulders | Action Thriller | jack reacher military investigation
Collateral | Tom Cruise, Jamie Foxx | Crime Thriller | taxi hitman los angeles
The Firm | Tom Cruise, Gene Hackman | Legal Thriller | lawyer mafia law firm conspiracy
A Few Good Men | Tom Cruise, Jack Nicholson | Legal Drama | military court marines trial
Jerry Maguire | Tom Cruise, Cuba Gooding Jr | Romance Drama | sports agent football relationship
Rain Man | Tom Cruise, Dustin Hoffman | Drama | brothers autism road trip family
