Student of the Year | Varun Dhawan, Alia Bhatt | Romance Comedy | college competition friendship romance
Kapoor & Sons | Sidharth Malhotra, Fawad Khan | Family Drama | family secrets relationships inheritance
Hasee Toh Phasee | Sidharth Malhotra, Parineeti Chopra | Romantic Comedy | scientist family love marriage
Ek Villain | Sidharth Malhotra, Shraddha Kapoor | Action Thriller | revenge serial killer love
A Gentleman | Sidharth Malhotra, Jacqueline Fernandez | Action Comedy | spy identity crime Mumbai
Ittefaq | Sidharth Malhotra, Sonakshi Sinha | Mystery Thriller | murder investigation suspects police
Marjaavaan | Sidharth Malhotra, Tara Sutaria | Action Romance | revenge gangster love
Shershaah | Sidharth Malhotra, Kiara Advani | War Biography | army Kargil soldier courage
Mission Majnu | Sidharth Malhotra, Rashmika Mandanna | Spy Thriller | espionage Pakistan nuclear mission
Thank God | Sidharth Malhotra, Ajay Devgn | Fantasy Comedy | afterlife karma life choices
Student of the Year 2 | Tiger Shroff, Tara Sutaria | Comedy Drama | college sports friendship competition
Heropanti | Tiger Shroff, Kriti Sanon | Action Romance | village love kidnapping family
Baaghi | Tiger Shroff, Shraddha Kapoor | Action Romance | martial arts rescue revenge
Baaghi 2 | Tiger Shroff, Disha Patani | Action Thriller | soldier missing child investigation
Baaghi 3 | Tiger Shroff, Riteish Deshmukh | Action Thriller | brothers rescue terrorism Syria
Warrior | Tiger Shroff, Hrithik Roshan | Action Drama | martial arts training competition
Flying Jatt | Tiger Shroff, Jacqueline Fernandez | Superhero Comedy | superhero pollution villain powers
Heropanti 2 | Tiger Shroff, Tara Sutaria | Action Thriller | cybercrime hacking revenge
Munna Michael | Tiger Shroff, Nidhhi Agerwal | Musical Action | dancer Mumbai gangster competition
Ganapath | Tiger Shroff, Kriti Sanon | Action Sci-Fi | future dystopia fighter rebellion
