Super Mario Bros Movie | Chris Pratt, Anya Taylor Joy | Animation Adventure | mario luigi peach bowser nintendo game
Sonic the Hedgehog | Ben Schwartz, James Marsden | Action Comedy | sonic tails knuckles robotnik sega game
Sonic the Hedgehog 2 | Ben Schwartz, James Marsden, Idris Elba | Action Comedy | sonic tails knuckles robotnik emerald game
Sonic the Hedgehog 3 | Ben Schwartz, Jim Carrey, Keanu Reeves | Action Comedy | sonic shadow tails knuckles sega game
Detective Pikachu | Ryan Reynolds, Justice Smith | Fantasy Mystery | pokemon pikachu detective pokemon game
Warcraft | Travis Fimmel, Paula Patton | Fantasy Action | warcraft orcs humans azeroth magic game
Tomb Raider | Alicia Vikander, Dominic West | Action Adventure | tomb raider lara croft island treasure game
Tomb Raider The Cradle of Life | Angelina Jolie, Gerard Butler | Action Adventure | lara croft tomb raider treasure adventure game
Resident Evil | Milla Jovovich, Michelle Rodriguez | Horror Action | resident evil alice zombies umbrella game
Resident Evil Apocalypse | Milla Jovovich, Sienna Guillory | Horror Action | resident evil alice zombies raccoon city game
Resident Evil Extinction | Milla Jovovich, Ali Larter | Horror Action | resident evil alice zombies apocalypse game
Resident Evil Afterlife | Milla Jovovich, Ali Larter | Horror Action | resident evil alice wesker zombies game
Resident Evil Retribution | Milla Jovovich, Michelle Rodriguez | Horror Action | resident evil alice umbrella zombies game
Resident Evil The Final Chapter | Milla Jovovich, Iain Glen | Horror Action | resident evil alice zombies umbrella game
Mortal Kombat | Lewis Tan, Jessica McNamee | Action Fantasy | mortal kombat scorpion sub zero tournament game
Mortal Kombat Annihilation | Robin Shou, Talisa Soto | Action Fantasy | mortal kombat raiden scorpion shaokahn game
Prince of Persia Sands of Time | Jake Gyllenhaal, Gemma Arterton | Fantasy Adventure | prince persia dagger time sands game
Rampage | Dwayne Johnson, Naomie Harris | Action Sci-Fi | rampage george ralph lizard monster game
Five Nights at Freddys | Josh Hutcherson, Piper Rubio | Horror Mystery | fnaf freddy animatronic security game
Uncharted | Tom Holland, Mark Wahlberg | Action Adventure | uncharted nathan drake treasure adventure game
