Gehraiyaan | Deepika Padukone, Siddhant Chaturvedi | Romance Drama | relationships infidelity ambition Mumbai
Chhapaak | Deepika Padukone, Vikrant Massey | Biographical Drama | acid attack recovery justice
Piku | Deepika Padukone, Amitabh Bachchan | Comedy Drama | father daughter road trip Delhi Kolkata
Tamasha | Ranbir Kapoor, Deepika Padukone | Romance Drama | identity storytelling career freedom
Finding Fanny | Deepika Padukone, Arjun Kapoor | Comedy Drama | Goa journey friendship search
Cocktail | Deepika Padukone, Saif Ali Khan | Romance Comedy | friendship love London relationships
Happy New Year | Shah Rukh Khan, Deepika Padukone | Heist Comedy | dance competition robbery Dubai
Chennai Express | Shah Rukh Khan, Deepika Padukone | Comedy Romance | train journey village marriage
Love Aaj Kal | Deepika Padukone, Saif Ali Khan | Romance Drama | modern love relationships career
Bachna Ae Haseeno | Ranbir Kapoor, Deepika Padukone | Romance Drama | relationships career travel
Yeh Jawaani Hai Deewani | Ranbir Kapoor, Deepika Padukone | Romance Drama | friendship travel career marriage
Tamasha | Ranbir Kapoor, Deepika Padukone | Romance Drama | identity career storytelling
Fashion | Priyanka Chopra, Kangana Ranaut | Drama | modeling fashion ambition career
Barfi! | Ranbir Kapoor, Priyanka Chopra | Romance Drama | friendship love disability
Mary Kom | Priyanka Chopra, Darshan Kumar | Sports Biography | boxing training Olympics
Don 2 | Shah Rukh Khan, Priyanka Chopra | Action Thriller | heist crime Europe
Krrish 3 | Hrithik Roshan, Priyanka Chopra | Superhero Action | mutants superhero science
Dostana | Abhishek Bachchan, John Abraham | Comedy Romance | friendship roommates Miami
Dhoom 2 | Hrithik Roshan, Aishwarya Rai | Action Thriller | thief robbery police Mumbai
Jodhaa Akbar | Hrithik Roshan, Aishwarya Rai | Historical Romance | Mughal emperor marriage kingdom
