Dilwale | Shah Rukh Khan, Kajol | Romance Action | love family rivalry Bulgaria
Ra.One | Shah Rukh Khan, Kareena Kapoor | Sci-Fi Action | artificial intelligence video game superhero
Fan | Shah Rukh Khan, Waluscha De Sousa | Thriller Drama | celebrity fan obsession identity
Kabhi Alvida Naa Kehna | Shah Rukh Khan, Rani Mukerji | Romance Drama | marriage relationships friendship New York
Swades | Shah Rukh Khan, Gayatri Joshi | Drama | village development education electricity NASA
Chak De India | Shah Rukh Khan, Shilpa Shukla | Sports Drama | hockey women team coach
My Name Is Khan | Shah Rukh Khan, Kajol | Drama | autism identity travel humanity
Veer-Zaara | Shah Rukh Khan, Preity Zinta | Romance Drama | India Pakistan love sacrifice
Om Shanti Om | Shah Rukh Khan, Deepika Padukone | Fantasy Romance | reincarnation cinema revenge
Main Hoon Na | Shah Rukh Khan, Sushmita Sen | Action Comedy | army college terrorism friendship
Kabhi Khushi Kabhie Gham | Amitabh Bachchan, Shah Rukh Khan | Family Drama | family marriage tradition reunion
Devdas | Shah Rukh Khan, Aishwarya Rai | Romance Drama | love heartbreak family sacrifice
Mohabbatein | Shah Rukh Khan, Amitabh Bachchan | Romance Drama | college love tradition teacher
Chalte Chalte | Shah Rukh Khan, Rani Mukerji | Romance Drama | marriage business conflict relationships
Paheli | Shah Rukh Khan, Rani Mukerji | Fantasy Drama | ghost marriage folklore Rajasthan
Swades | Shah Rukh Khan, Gayatri Joshi | Social Drama | village electricity development
Dear Zindagi | Alia Bhatt, Shah Rukh Khan | Drama | relationships emotions therapy filmmaking
Dear Zindagi | Alia Bhatt, Shah Rukh Khan | Drama | life emotions friendship self discovery
Dunki | Shah Rukh Khan, Taapsee Pannu | Comedy Drama | immigration friendship Punjab journey
Darr | Shah Rukh Khan, Juhi Chawla | Psychological Thriller | obsession love stalking revenge
