Article 370 | Yami Gautam, Priyamani | Political Thriller | Kashmir intelligence mission government
Raazi | Alia Bhatt, Vicky Kaushal | Spy Thriller | espionage Kashmir marriage intelligence
Gangubai Kathiawadi | Alia Bhatt, Shantanu Maheshwari | Biographical Drama | Mumbai woman power society
Udta Punjab | Shahid Kapoor, Alia Bhatt | Crime Drama | drugs Punjab addiction police
Kabir Singh | Shahid Kapoor, Kiara Advani | Romance Drama | medical college love relationship
Haider | Shahid Kapoor, Tabu | Drama Thriller | Kashmir Hamlet revenge conflict
Jab We Met | Shahid Kapoor, Kareena Kapoor | Romance Comedy | train journey friendship love
Vivah | Shahid Kapoor, Amrita Rao | Romance Drama | marriage family tradition
Kaminey | Shahid Kapoor, Priyanka Chopra | Action Thriller | twins crime Mumbai
Mausam | Shahid Kapoor, Sonam Kapoor | Romance Drama | love separation military
Pad Man | Akshay Kumar, Sonam Kapoor | Biographical Comedy | sanitary pads social awareness village
Toilet Ek Prem Katha | Akshay Kumar, Bhumi Pednekar | Comedy Drama | sanitation village marriage reform
Gold | Akshay Kumar, Mouni Roy | Sports Drama | hockey Olympics independence
Kesari | Akshay Kumar, Parineeti Chopra | Historical War | battle soldiers Saragarhi bravery
Mission Mangal | Akshay Kumar, Vidya Balan | Science Drama | space ISRO Mars mission scientists
JugJugg Jeeyo | Varun Dhawan, Kiara Advani | Family Comedy | marriage divorce family relationships
October | Varun Dhawan, Banita Sandhu | Romance Drama | hospital care friendship emotions
Badlapur | Varun Dhawan, Nawazuddin Siddiqui | Crime Thriller | revenge murder prison
Humpty Sharma Ki Dulhania | Varun Dhawan, Alia Bhatt | Romance Comedy | marriage Punjab family love
Badrinath Ki Dulhania | Varun Dhawan, Alia Bhatt | Romance Comedy | marriage education gender equality
